活動内容,平成24年（N=1928）／割合(%),平成28年（N=1820）／割合(%)
子供のスポーツや運動の部活動やクラブ等の運営や支援,5.3,7.4
スポーツ活動などの運営や支援（クラブ、スポーツ団体等の定期的な活動）,3.3,3.8
スポーツイベントのボランティア（スポーツ大会などの不定期な活動）,2.0,2.5
仕事としてスポーツに関わっている（インストラクター、教員、スポーツ用品販売員など）,1.5,1.6
スポーツイベントの募金やオークションなどのチャリティ活動,1.5,1.3
活動していない,88.2,85.1
わからない,0.7,1.8
