平成（年）,東京都(%),全国(%)
20,50.5,48.4
21,50.9,48.5
22,51.1,48.5
23,51.9,48.2
24,51.6,48.2
25,52.8,48.9
26,53.9,49.2
27,53.9,49.6
28,54.3,50.3
