区分,需要増加額／項目,需要増加額／内容,需要増加額／金額（億円）,経済波及効果（生産誘発額）／東京都（億円）,経済波及効果（生産誘発額）／全国（億円）
（1）直接的効果,施設整備費,恒久施設整備費,3500,,
（1）直接的効果,大会運営費,仮設施設整備費、エネルギーインフラ、輸送、セキュリティ、テクノロジー、オペレーション、管理・広報、その他,10600,,
（1）直接的効果,その他,大会参加者・観戦者支出、家計消費支出、国際映像制作・伝送費、企業マーケティング活動費,5690,,
（1）直接的効果,合計,,19790,,
（1）直接的効果計,,,,33919,52162
（2）レガシー効果,新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,新規恒久施設・選手村の後利用、大会関連交通インフラ整備、バリアフリー対策、水素社会の実現等,22572,,
（2）レガシー効果,スポーツ、都民参加・ボランティア、文化、教育・多様性,スポーツ実施者・観戦者の増加、障害者スポーツの振興、ボランティア活動者の増加、文化イベント観客の増加、外国人留学生の増加等,8159,,
（2）レガシー効果,経済の活性化・最先端技術の活用,観光需要の拡大、国際ビジネス拠点の形成、中小企業の振興、ITS・ロボット産業の拡大等,91666,,
（2）レガシー効果,合計,,122397,,
（2）レガシー効果計,,,,170488,271017
（3）総計,,,142187,204407,323179
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
