産業名,男女計／東京都(%),男女計／全国(%),男／東京都(%),男／全国(%),女／東京都(%),女／全国(%)
建設業,5.9,7.6,8.8,11.5,2.1,2.6
製造業,9.8,16.2,11.6,20,7.2,11.2
情報通信業,9.2,3.2,11.5,4.2,6.2,2
運輸業、郵便業,4.8,5.2,6.6,7.4,2.2,2.4
卸売業、小売業,16.2,16.4,14.7,14.2,18.1,19.3
金融業、保険業,4.1,2.5,3.8,2.1,4.6,3.1
不動産業、物品賃貸業,3.4,1.9,3.6,2.1,3.1,1.7
学術研究、専門・技術サービス業,6.3,3.4,6.9,4,5.5,2.7
宿泊業、飲食サービス業,7,6,5.7,4.1,8.7,8.6
生活関連サービス業、娯楽業,3.7,3.6,2.9,2.6,4.7,5
教育、学習支援業,5,4.8,4,3.7,6.4,6.2
医療、福祉,10.2,12.5,4.9,5.6,17.2,21.6
サービス業（他に分類されないもの）,8.1,6.4,8,6.9,8.1,5.8
その他（上記以外のもの）,6.3,10.3,7,11.6,5.9,7.8
