障害者スポーツに関心がない理由,割合（n=744）(%),
どんな選手がいるか知らないから,35.5,
身近に障害者スポーツに関わっている人がいないから,31.5,
競技のルールや見どころがわからないから,28.2,
障害者スポーツを身近な場所でやっていないから,26.5,
障害者スポーツについて、メディアで触れる機会が少ないから,24.3,
どんな競技があるか知らないから,24.2,
障害者スポーツには興味がないから,19.1,
スポーツ自体に興味がないから,15.6,
その他,6.7,
特に理由はない,4.8,
わからない,0.5,
