区分,割合(n=1127)(%)
新しい友人を得ることができた,48.8
生活に充実感ができた,46.0
健康や体力に自信がついた,44.4
お互いに助け合うことができた,33.9
地域社会に貢献できた,27.5
自分の技術、経験を生かすことができた,20.5
社会への見方が広まった,16.8
その他,0.8
特にない,0.8
