スポーツを実施した理由,平成26年度調査（n=1683）／割合(%),平成28年度調査（n=1547）／割合(%)
健康・体力づくりのため,65.4,67.2
運動不足を感じるから,48.2,49.2
楽しみや、気晴らしとして,51.8,47.9
友人・仲間との交流として,28.6,24.2
美容や肥満解消のため,15.3,15.1
家族のふれあいとして,14.7,13.8
自己の記録や能力を向上させるため,4.8,5.7
精神の修養や訓練のため,4.7,5.4
その他,2.6,3.2
特に理由はない,1.8,1.9
