学年,好き／割合(%),やや好き／割合(%),やや嫌い／割合(%),嫌い／割合(%),,
小１,66.2,27.1,5.5,1.3,,
小２,64.1,28.3,6.1,1.5,,
小３,63.2,28.6,6.1,2.1,,
小４,61.0,29.7,7.0,2.4,,
小５,58.2,29.9,8.6,3.2,,
小６,53.8,30.2,11.2,4.8,,
中１,52.0,29.3,12.5,6.2,,
中２,48.9,29.3,13.8,8.0,,
中３,45.6,31.2,14.8,8.5,,
高１,43.2,32.3,15.8,8.7,,
高２,40.4,34.2,16.4,9.0,,
高３,40.1,34.7,16.1,9.0,,
