顕彰,内容
東京都スポーツ推進企業認定制度,従業員のスポーツ活動の推進、スポーツ分野における社会貢献活動を実施している企業等を「東京都スポーツ推進企業」として認定します。更に、東京都スポーツ推進企業の中から、特に社会的な影響や波及効果の大きい取組をしている企業等を「東京都スポーツ推進モデル企業」として表彰していきます。／［平成29年度実績］東京都スポーツ推進企業196社、東京都スポーツ推進モデル企業11社
東京都スポーツ功労賞,スポーツ・レクリエーションの振興に功績のあった方及びスポーツ・レクエーションの普及・発展に貢献した団体を顕彰することにより、スポーツの振興を図ります。／［平成29年度実績］スポーツ功労者39人、スポーツ功労団体27団体
