イベント概要／名称,イベント概要／内容,実績（2017年）／時期,実績（2017年）／開催場所,実績（2017年）／参加人数（人）
東京マラソン,東京の名所などを巡る市民参加型マラソン大会（マラソン/10km）,２月,〈マラソン〉東京都庁～飯田橋～神田～日本橋～浅草雷門～両国～門前仲町～銀座～高輪～日比谷～東京駅前・行幸通り,〈マラソン〉35378／〈10km〉446
ＴＯＫＹＯウオーク,東京の名所などを巡るウオーキング大会,６～12月,・港・品川エリア／葛飾・足立エリア／・青梅エリア／・多摩川エリア／・三鷹・武蔵野・杉並エリア,20069
スポーツ博覧会・東京,スポーツ教室や障害者スポーツの体験コーナー、ゲストによるトークショー等,10月,・駒沢オリンピック公園総合運動場・井の頭恩賜公園西園,241000
味の素スタジアム６時間耐久リレーマラソン,チームでタスキをつなぎながら走る、リレー形式のランニングイベント等,11月,・東京スタジアム,10337
