理由,割合（n=431）（%）
活動したいが、身体的にできない,50.8 
活動したいが、時間がない,10.0 
活動したいが、自分にあったスポーツや運動の情報がない,9.5 
活動したいが、一緒にやる人がいない,8.6 
活動したいが、身近なところにスポーツや運動がやれる場所がない,7.9 
その他,10.2 
活動したいと思わない,20.9 
無回答,2.6 
