学年,好き／割合(%),やや好き／割合(%),やや嫌い／割合(%),嫌い／割合(%),,
小１,69.3,24.5,5.1,1.1,,
小２,69.0,24.6,5.0,1.4,,
小３,71.4,22.1,4.6,1.9,,
小４,72.4,21.1,4.6,1.9,,
小５,70.9,21.6,5.3,2.2,,
小６,69.5,21.8,5.8,2.9,,
中１,68.6,22.3,6.1,3.0,,
中２,63.1,25.1,7.3,4.5,,
中３,60.8,26.0,7.9,5.3,,
高１,57.0,28.5,9.3,5.2,,
高２,54.9,30.0,9.4,5.8,,
高３,55.1,30.7,8.6,5.6,,
