国際大会,国内大会
リポビタンＤチャレンジカップ2016,第53回東京スポーツ祭典
第10回アジア水泳選手権2016,日本トライアスロン選手権（2016/ 東京港）
第18回東京オープン・ダンススポーツ選手権,第44回日本車椅子バスケットボール選手権大会
東レパンパシフィックオープンテニストーナメント,第54回全日本合気道演武大会
国際交流ジュニアヨットクラブ競技会2016 ,第31回全国選抜ゲートボール選手権大会　
第12回居合道会国際大会,第20回全日本障害者・高齢者フライングディスク競技大会
2016ジャパンパラゴールボール競技大会,第27回全日本バトン選手権大会
イオンカップ2016世界新体操クラブ選手権,第64回全日本学生弓道選手権大会
ヨネックスオープンジャパン2016BWF ワールドスーパーシリーズ,第50回全日本躰道選手権大会
楽天・ジャパン・オープン・テニス・チャンピオンシップス2016,第26回ジュニアヨット国際親善レガッタ大会
FINA/airweave 競泳ワールドカップ2016東京大会,平成28年度日本カヌーワイルドウォーター選手権大会
JAPAN WOMEN’S OPEN TENNIS 2016,第31回全日本視覚障害者柔道大会
ICUジャパンオープンチアリーディング選手権大会2016,第17回ジャパンクラシックベンチプレス選手権大会
2016年アジアユース・ジュニアウエイトリフティング選手権大会,第36回三笠宮杯全日本ダンススポーツ選手権
アジアオープン柔術選手権2016 ,第12回全日本障がい者空手道競技大会
The 5th Asian U-23 Fencing Championships 2016 in Tokyo ,第27回ラクロス全日本選手権大会
2017高円宮杯フェンシングワールドカップ東京大会／男子フルーレ個人戦および団体戦,第68回全日本総合ハンドボール選手権大会
グランドスラム東京2016,第28回全日本テコンドー選手権大会
2017ワールドスーパーシリーズ アジアオープンダンス選手権大会,2017全日本綱引選手権大会
スズキワールドカップ2017第28回エアロビック世界大会,お台場ビーチバレー2017
