年度,はい（%）,いいえ（%）,無回答（%）
平成29年度（N=1239社）,84.3,15.0,0.7
平成28年度（N=726社）,76.0,23.4,0.6
平成27年度（N=573社）,65.1,33.7,1.2
平成26年度（N=493社）,53.3,44.6,2.1
