年代,スポーツ実施率／男性(%),スポーツ実施率／女性(%)
１８・１９歳,52.9,46.2
２０歳代,42.5,39.4
３０歳代,50.4,44.2
４０歳代,53.6,54.3
５０歳代,48.6,63
６０歳代,62.8,66
７０歳以上,65.1,67.3
平均,54.7,57.8
