観戦した方法,割合（N=1463）（%）
スタジアム・体育館などで実際に観戦したことがある,14.4 
沿道で実際に観戦したことがある,2.3 
テレビ、ラジオ、インターネット等で観戦したことがある,69.0 
その他,1.7 
観戦したことはない,19.1 
わからない,2.4 
無回答,4.9 
