年度,観戦又は見たことがある（%）,観戦又は見たことはない（%）,わからない（%）
平成29年度（N=1907）,57.4 ,40.3 ,2.3 
平成28年度（N=1820）,71.2 ,27.8 ,1.0 
平成26年度（N=1910）,51.4 ,47.3 ,1.4 
