スポーツ産業の活性化の主な政策／（主な政策分野）,スポーツ産業の活性化の主な政策／（主な増要因）,現状（兆円）,２０２０年（兆円）,２０２５年（兆円）
（1）スタジアム・アリーナ,スタジアムを核とした街づくり,2.1,3.0,3.8
（2）アマチュアスポーツ,大学スポーツなど,‐,0.1,0.3
（3）プロスポーツ,興行収益拡大（観戦者数増加など）,0.3,0.7,1.1
（4）周辺産業,スポーツツーリズムなど,1.4,3.7,4.9
（5）ＩｏＴ活用,施設、サービスのＩＴ化進展とＩｏＴ導入,‐,0.5,1.1
（6）スポーツ用品,スポーツ実施率向上策、健康経営促進など,1.7,2.9,3.9
計,,5.5,10.9,15.2
