平成（年）,男子競技別入賞数,女子競技別入賞数,男子総合成績（位）,女子総合成績（位）
18,13,10,5,4
19,17,15,2,2
20,19,12,2,2
21,16,14,2,2
22,24,10,2,2
23,22,15,2,2
24,22,16,2,2
25,35,23,1,1
26,22,20,2,1
27,20,17,2,1
28,27,26,1,1
29,28,22,1,1
