年,全世帯に占める単独世帯（７５歳以上）の割合(%),単独世帯（７５歳以上）（万世帯）,単独世帯（６５～７４歳以上）（万世帯）,単独世帯（６５歳未満）（万世帯）,世帯数合計（万世帯）
2015,6.3,42,37,237,316
2020（予測）,-,49,37,245,331
2025（予測）,-,57,33,250,339
2030（予測）,-,58,37,248,343
2035（予測）,-,58,45,243,346
2040（予測）,-,60,50,229,339
2045（予測）,-,66,50,216,332
2050（予測）,-,74,45,204,323
2055（予測）,-,77,41,194,313
2060（予測）,12.3,76,38,186,300
