区分,政策指針,具体的な施策展開,関心喚起策,実行促進策,継続支援策
するスポーツ,01スポーツをすることへの関心喚起,都民へのスポーツ情報支援・情報発信,○,○,
するスポーツ,01スポーツをすることへの関心喚起,スポーツが健康に与える効果・効用の普及啓発,○,,
するスポーツ,01スポーツをすることへの関心喚起,児童・生徒の体力の把握と活用,○,,
するスポーツ,02スポーツを始める機会の創出,多様なスポーツイベントの開催,○,○,
するスポーツ,02スポーツを始める機会の創出,区市町村等が実施するスポーツイベント等への支援,,○,
するスポーツ,03スポーツを身近でできる場の確保,都立スポーツ施設の管理運営,,○,○
するスポーツ,03スポーツを身近でできる場の確保,身近な場所でのスポーツ環境の整備,,○,○
するスポーツ,04成長段階にある児童・生徒の体力向上,学校における運動量の十分な確保と優れた実践の普及,○,○,
するスポーツ,04成長段階にある児童・生徒の体力向上,運動部活動の振興,,○,○
するスポーツ,05競技力向上の取組を通じたスポーツ実施の推進,才能ある選手の発掘,○,○,
するスポーツ,05競技力向上の取組を通じたスポーツ実施の推進,東京育ちのアスリートの競技力向上,,○,○
するスポーツ,05競技力向上の取組を通じたスポーツ実施の推進,アスリートの競技力向上のサポート,,,○
するスポーツ,05競技力向上の取組を通じたスポーツ実施の推進,アスリートのスポーツキャリア形成支援,,,○
みるスポーツ,06スポーツをみることの魅力発信,様々な競技の紹介,○,,
みるスポーツ,07スポーツをみる機会の創出,スポーツをみる機会の創出,,○,○
支えるスポーツ,08スポーツを支える人材の育成,東京2020大会に向けたボランティアの裾野拡大,○,○,
支えるスポーツ,08スポーツを支える人材の育成,スポーツの裾野を拡大する人材の育成,,○,○
支えるスポーツ,09スポーツによる事故防止等の推進,けがや事故、熱中症等の予防推進,○,○,○
支えるスポーツ,09スポーツによる事故防止等の推進,スポーツにおける暴力行為や薬物等の根絶,,○,○
支えるスポーツ,10スポーツを支える都民の顕彰等,スポーツを支える都民の顕彰等,,,○
