スポーツを実施しなかった理由,平成26年度調査（n=227）／割合(%),平成28年度調査（n=273）／割合(%)
仕事や家事・育児が忙しくて時間がないから,42.3,43.2
機会がなかったから,18.5,22
年をとったから,19.4,17.2
体が弱いから,14.5,11.4
スポーツ・運動が好きではないから,9.3,11.4
お金がかかるから,2.6,4.4
仲間がいないから,3.1,1.8
場所や施設がないから,2.2,1.5
指導者がいないから,0.9,0
その他,16.3,11.4
特に理由はない,9.7,12.8
無回答,0.4,1.1
