調査期間（年）,東京の出生数(万人)
2006～2010,53
2011～2015,55
2015～2020（予測）,53
2020～2025（予測）,50
2025～2030（予測）,48
2030～2035（予測）,46
2035～2040（予測）,44
2040～2045（予測）,42
2045～2050（予測）,40
2050～2055（予測）,38
2055～2060（予測）,36
