施設名,主な施設
東京体育館（渋谷区）,メイン・サブアリーナ、屋内プール（50m，25m）、陸上競技場（200m）、トレーニングルーム
駒沢オリンピック公園総合運動場（世田谷区）,陸上競技場（400m）、体育館、補助競技場、弓道場、（屋内、第一、第二）球技場、（硬式、軟式）野球場、テニスコート、トレーニングルーム
東京武道館（足立区）,（大、第一、第二）武道場、弓道場、トレーニングルーム
東京辰巳国際水泳場（江東区）,メインプール（50m）、サブプール（50m）、ダイビングプール
有明テニスの森公園テニス施設（江東区）,テニスコート（48面）、有明コロシアム（1面）
若洲海浜公園ヨット訓練所（江東区）,マリーナ（ボートヤード、浮桟橋、監視塔）
東京都障害者総合スポーツセンター（北区）,体育館、トレーニング室、屋内プール、卓球室・サウンドテーブルテニス室、陸上競技場、アーチェリー場、テニスコート、宿泊施設
東京都多摩障害者スポーツセンター（国立市）,体育館、トレーニング室、屋内プール、卓球室・サウンドテーブルテニス室、宿泊施設
武蔵野の森総合スポーツプラザ（調布市）,メインアリーナ、サブアリーナ、屋内プール（50m）、トレーニングルーム
東京スタジアム（調布市）,味の素スタジアム、アミノバイタルフィールド、西競技場
