世代,実施率／男性／平成28年度（%）,実施率／男性／平成26年度（%）,実施率／女性／平成28年度（%）,実施率／女性／平成26年度（%）
70歳以上,65.1 ,73.2 ,67.3 ,76.7 
60歳代,62.8 ,64.5 ,66.0 ,73.3 
50歳代,48.6 ,55.5 ,63.0 ,64.5 
40歳代,53.6 ,51.3 ,54.3 ,56.9 
30歳代,50.4 ,45.6 ,44.2 ,47.7 
20歳代,42.5 ,42.5 ,39.4 ,43.8 
18/19歳,52.9 ,-,46.2 ,-
