年度,テレビ、ラジオ、インターネット配信等で観戦又は見たことがある（%）,スタジアム・体育館・沿道などで実際に観戦又は見たことがある（%）,その他（%）,観戦又は見たことがない（%）,わからない（%）
平成29年度（N=1907）,55.7 ,2.7 ,0.6 ,40.3 ,2.3 
平成28年度（N=1820）,70.4 ,1.3 ,0.3 ,27.8 ,1.0 
平成26年度（N=1910）,50.3 ,2.2 ,0.1 ,47.3 ,1.4 
