区分,スポーツ総生産（十億円）,スポーツ総生産／小売（十億円）,スポーツ総生産／興行（十億円）,スポーツ総生産／施設（十億円）,スポーツ総生産／賃貸（十億円）,スポーツ総生産／旅行（十億円）,スポーツ総生産／その他（十億円）,スポーツ総生産／情報（十億円）
全国,5504,1667,284,2115,27,742,97,572
東京都,573,246,91,140,1,26,10,59
