"年度","求職者数 新規[人]","求職者数 再来[人]","就職者数[人]","求人開拓数 件数[件]","求人開拓数 延求人数[人]","就業促進事業(セミナー・面・相)参加者数[人]"
"2013","446","2188","285","1365","2104","3884"
"2014","1116","1409","297","1401","2825","3205"
"2015","900","1089","265","1570","3297","2925"
"2016","1009","1113","233","1946","4649","3367"
"2017","886","941","203","1728","3790","3200"

"平成30年度港区行政資料集　港区アクティブシニア就業支援センター活動状況（無料職業紹介所「みなと＊しごと５ごじゅうご５」）","Ver201803",,,,,
