公園種類,変更計画／箇所数,変更計画／計画決定面積（ha),変更計画／陸域(ha),変更計画／水域(ha),既定計画／箇所数,既定計画／計画決定面積(ha),既定計画／陸域(ha),既定計画／水域(ha),増減／箇所数,増減／面積(ha),増減／陸域(ha),増減／水域(ha)
合計,43,1077,439.7,637.3,41,1038.5,428.1,610.4,2,38.5,11.6,26.9
海浜公園,9,929.5,298.8,630.7,8,895.9,291.7,604.2,1,33.6,7.1,26.5
ふ頭公園,21,51.1,47,4.1,21,50.2,46.1,4.1,0,0.9,0.9,0
緑道公園,13,96.4,93.9,2.5,12,92.4,90.3,2.1,1,4,3.6,0.4
