名称,晴海ふ頭公園
種類,ふ頭公園
所在地,中央区晴海五丁目
区域,*
面積,変更計画3.6ha（陸域3.6ha／水域-ha）
面積,既定計画2.5ha（陸域2.5ha／水域-ha）
面積,今回変更計画増減1.1ha（陸域1.1ha／水域-ha）
主な海上公園の施設の種類及び名称,変更計画／１植樹帯など自然環境の回復、保全のための施設
主な海上公園の施設の種類及び名称,変更計画／２芝生、池、つき山などの修景施設
主な海上公園の施設の種類及び名称,変更計画／３展望テラスなど港に親しむ施設
主な海上公園の施設の種類及び名称,変更計画／４休憩所、ベンチなどの休養施設
主な海上公園の施設の種類及び名称,変更計画／５便所、売店などの便益施設
主な海上公園の施設の種類及び名称,既定計画／１植樹帯など自然環境の回復、保全のための施設
主な海上公園の施設の種類及び名称,既定計画／２噴水、流れ、花壇などの修景施設
主な海上公園の施設の種類及び名称,既定計画／３展望テラスなど港に親しむ施設
主な海上公園の施設の種類及び名称,既定計画／４ベンチ、休憩所などの休養施設
交通手段の確保,１都営大江戸線勝どき下車
交通手段の確保,２都バス晴海埠頭下車
