名称,晴海緑道公園
種類,緑道公園
所在地,中央区晴海四丁目・五丁目
区域,*
面積,今回計画3.6ha（陸域3.6ha／水域-ha）
面積,既定計画-ha（陸域-ha／水域-ha）
主な海上公園の施設の種類及び名称,１植樹帯など自然環境の回復、保全のための施設
主な海上公園の施設の種類及び名称,２散策路
主な海上公園の施設の種類及び名称,３植栽、芝生、花壇などの修景施設
主な海上公園の施設の種類及び名称,４ベンチ、休憩所などの休養施設
交通手段の確保,都営大江戸線「勝どき」下車/徒歩18分
