名称,京浜運河緑道公園
種類,緑道公園
所在地,品川区八潮一丁目・五丁目・東品川五丁目
区域,*
面積,変更計画8.4ha（陸域6.7ha／水域1.7ha）
面積,既定計画8.0ha（陸域6.7ha／水域1.3ha）
面積,今回変更計画増減0.4ha（陸域0.0ha／水域0.4ha）
主な海上公園の施設の種類及び名称,１植樹帯などの自然環境の回復・保全のための施設
主な海上公園の施設の種類及び名称,２運河沿いの散策路
主な海上公園の施設の種類及び名称,３ベンチなどの休養施設
交通手段の確保,１東京モノレール大井競馬場前下車
交通手段の確保,２都バス八潮南下車など
