名称,有明親水海浜公園
種類,海浜公園
所在地,江東区有明一丁目・東雲一丁目
区域,*
面積,今回計画33.6ha（陸域7.1ha／水域26.5ha）
面積,既定計画-ha（陸域-ha／水域-ha）
主な海上公園の施設の種類及び名称,１海浜や樹林地などの自然環境の回復、保全のための施設
主な海上公園の施設の種類及び名称,２海上レクリエーションや水辺の自然に親しむための水面
主な海上公園の施設の種類及び名称,３人々が集い、触れ合う広場や、水辺の散策路
主な海上公園の施設の種類及び名称,４植栽、芝生などの修景施設
主な海上公園の施設の種類及び名称,５便所、駐車場などの便益施設
主な海上公園の施設の種類及び名称,６管理事務所などの管理施設
自然環境の保全,陸域における樹林地や草地の造成及び水域における海浜の整備により、多様な生物の生息の場を創出し、自然環境の回復と保全を行う。
交通手段の確保,１新交通ゆりかもめ有明テニスの森下車
交通手段の確保,２都バス都橋住宅前下車
交通手段の確保,３りんかい線東雲下車/徒歩18分
