名称,青海南ふ頭公園
種類,ふ頭公園
所在地,江東区青海二丁目
区域,*
面積,変更計画4.5ha（陸域4.5ha／水域0.0ha）
面積,既定計画4.7ha（陸域4.7ha／水域0.0ha）
面積,今回変更計画増減-0.2ha（陸域-0.2ha／水域0.0ha）
主な海上公園の施設の種類及び名称,１植樹帯など自然環境の回復、保全のための施設
主な海上公園の施設の種類及び名称,２芝生地などの憩いの広場
主な海上公園の施設の種類及び名称,３池、流れなどの修景施設
主な海上公園の施設の種類及び名称,４休憩所などの休養施設
主な海上公園の施設の種類及び名称,５駐車場、飲食店などの便益施設
交通手段の確保,１新交通ゆりかもめテレコムセンター下車
交通手段の確保,２都バス東京港湾合同庁舎前下車など
