"年度[西暦]","区 公園数[か所]","区 面積[平方メートル]","都 公園数[か所]","都 面積[平方メートル]","国 公園数[か所]","国 面積[平方メートル]","公園数 合計[か所]","面積 合計[平方メートル]","区民１人当たり面積[平方メートル毎人]"
"2015","49","319927","8","776777","1","263716","58","1360420","5.62"
"2016","49","320048","8","776777","1","263716","58","1360541","5.52"
"2017","49","323183","8","776777","1","263716","58","1363676","5.43"
"2018","49","320187","8","776777","1","263716","58","1360680","5.33"
"2019","49","320187","8","776777","1","263716","58","1360680","5.26"

"令和元年度港区行政資料集　管理別公園数及び面積","Ver201904",,,,,,,,
