"年度[西暦]","区分","当日有権者数 男[人]","当日有権者数 女[人]","当日有権者数 総数[人]","投票者数 男[人]","投票者数 女[人]","投票者数 総数[人]","投票率 男[%]","投票率女[%]","投票率 総数[%]"
"2015","区議会議員","83898","99177","183075","30225","35726","65951","36.03","36.02","36.02"
"2016","港区長","85078","101059","186137","20433","24700","45133","24.02","24.44","24.25"
"2016","参議院","89587","105658","195245","48057","54629","102686","53.64","51.70","52.59"
"2016","都知事","88467","104509","192976","49841","60897","110738","56.34","58.27","57.38"
"2017","都議会議員","88924","105460","194384","40066","46135","86201","45.06","43.75","44.35"
"2017","衆議院1区","76226","92010","168236","41283","47688","88971","54.16","51.83","52.88"
"2017","衆議院2区","15130","16097","31227","7507","7728","15235","49.62","48.01","48.79"
"2019","区議会議員","89326","106009","195335","31439","37654","69093","35.2","35.52","35.37"
"2019","参議院","93163","109892","203055","46094","51665","97759","49.48","47.01","48.14"

"令和元年度港区行政資料集　各種選挙投票状況","Ver201903",,,,,,,,,
