地域階層,地域コード,地域,合計（経営体）,法人化している／計（経営体）,法人化している／農事組合法人（経営体）,法人化している／会社／小計（経営体）,法人化している／会社／株式会社（経営体）,法人化している／会社／合名・合資会社（経営体）,法人化している／会社／合同会社（経営体）,法人化している／会社／相互会社（経営体）,法人化している／各種団体／小計（経営体）,法人化している／各種団体／農協（経営体）,法人化している／各種団体／森林組合（経営体）,法人化している／各種団体／その他の各種団体（経営体）,法人化している／その他の法人（経営体）,地方公共団体・財産区（経営体）,法人化していない（経営体）,法人化していない／個人経営体（経営体）
0,13000,東京都総数,5117,71,5,58,56,-,2,-,1,-,-,1,7,2,5044,5041
1,13100,区部,809,19,-,18,17,-,1,-,-,-,-,-,1,-,790,790
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,-
4,13104,新宿区,1,-,x,x,x,x,x,x,x,x,x,x,x,x,x,1
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x,1
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,6,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6
4,13111,大田区,5,2,-,2,2,-,-,-,-,-,-,-,-,-,3,3
4,13112,世田谷区,195,5,-,5,4,-,1,-,-,-,-,-,-,-,190,190
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,4,1,-,1,1,-,-,-,-,-,-,-,-,-,3,3
4,13115,杉並区,60,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
