地域階層,地域コード,地域,計／栽培実経営体数（経営体）,計／露地／栽培経営体数（経営体）,計／露地／栽培面積（a）,計／施設／栽培経営体数（経営体）,計／施設／栽培面積（a）,品目別栽培実経営体数／温州みかん（経営体）,品目別栽培実経営体数／その他のかんきつ類（経営体）,品目別栽培実経営体数／りんご（経営体）,品目別栽培実経営体数／ぶどう（経営体）,品目別栽培実経営体数／日本なし（経営体）,品目別栽培実経営体数／西洋なし（経営体）,品目別栽培実経営体数／もも（経営体）,品目別栽培実経営体数／おうとう（経営体）,品目別栽培経実営体数／びわ（経営体）,品目別栽培実経営体数／かき（経営体）,品目別栽培実経営体数／くり（経営体）,品目別栽培実経営体数／うめ（経営体）,品目別栽培実経営体数／すもも（経営体）,品目別栽培実経営体数／キウイフルーツ（経営体）,品目別栽培実経営体数／パインアップル（経営体）,品目別栽培実経営体数／その他の果樹（経営体）
0,13000,東京都総数,1571,1526,39510,155,1309,292,168,17,179,194,4,18,2,20,480,446,281,38,205,4,560
1,13100,区部,230,227,4576,14,81,69,32,4,28,2,1,4,x,3,72,41,44,2,20,x,81
4,13101,千代田区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13102,中央区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13110,目黒区,1,x,x,-,-,1,1,-,1,-,-,x,x,x,-,-,-,x,-,x,-
4,13111,大田区,1,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,1
4,13112,世田谷区,78,x,x,4,33,28,12,3,8,1,1,x,x,x,18,23,16,x,4,x,24
4,13113,渋谷区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13114,中野区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13115,杉並区,18,x,x,1,x,4,2,1,-,1,-,x,x,x,6,3,2,x,3,x,8
4,13116,豊島区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13117,北区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13118,荒川区,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13119,板橋区,10,x,x,-,-,2,3,-,1,-,-,x,x,x,3,-,5,x,1,x,1
4,13120,練馬区,102,x,x,6,19,25,11,-,16,-,-,x,x,x,39,12,16,x,11,x,40
4,13121,足立区,7,x,x,1,x,3,1,-,2,-,-,x,x,x,1,1,2,x,-,x,2
4,13122,葛飾区,6,x,x,1,x,3,1,-,-,-,-,x,x,x,1,1,2,x,1,x,3
4,13123,江戸川区,7,x,x,1,x,3,1,-,-,-,-,x,x,x,4,1,1,x,-,x,2
1,13200,市部,1242,1223,33275,92,889,220,111,12,150,190,3,13,x,15,401,387,231,33,183,x,407
4,13201,八王子市,96,x,x,4,3,6,4,-,2,2,-,x,x,x,7,45,32,x,10,x,36
4,13202,立川市,51,x,x,4,22,7,3,1,2,7,-,x,x,x,14,20,15,x,12,x,17
4,13203,武蔵野市,18,x,x,2,x,5,1,-,2,2,-,x,x,x,7,2,2,x,3,x,5
4,13204,三鷹市,94,x,x,9,72,28,19,1,16,-,-,x,x,x,40,25,12,x,31,x,46
4,13205,青梅市,31,x,x,-,-,1,1,-,-,-,-,x,x,x,4,10,15,x,6,x,12
4,13206,府中市,48,x,x,6,50,8,5,1,5,11,-,x,x,x,19,12,2,x,8,x,13
4,13207,昭島市,18,x,x,3,2,1,-,-,-,6,-,x,x,x,2,4,5,x,2,x,4
4,13208,調布市,32,x,x,7,29,9,6,-,8,-,-,x,x,x,9,4,5,x,6,x,8
4,13209,町田市,113,x,x,4,53,34,5,-,2,-,-,x,x,x,47,47,28,x,12,x,42
4,13210,小金井市,46,x,x,3,9,6,11,1,1,1,-,x,x,x,14,12,9,x,11,x,18
4,13211,小平市,93,x,x,6,117,11,4,-,14,14,-,x,x,x,29,38,14,x,13,x,44
4,13212,日野市,56,x,x,3,55,10,3,2,13,15,-,x,x,x,16,15,7,x,2,x,19
4,13213,東村山市,80,x,x,6,x,7,3,1,9,24,2,x,x,x,28,32,16,x,19,x,16
4,13214,国分寺市,49,x,x,2,x,9,3,-,2,-,-,x,x,x,19,16,3,x,4,x,31
4,13215,国立市,17,x,x,1,x,3,2,1,1,2,-,x,x,x,9,2,4,x,2,x,5
4,13218,福生市,5,x,x,-,-,-,1,2,2,-,-,x,x,x,-,1,-,x,1,x,2
4,13219,狛江市,22,x,x,1,x,11,6,-,-,-,-,x,x,x,12,1,3,x,2,x,7
4,13220,東大和市,24,x,x,3,4,8,1,1,1,8,-,x,x,x,5,8,2,x,1,x,5
4,13221,清瀬市,26,x,x,2,x,3,2,-,3,2,-,x,x,x,5,11,3,x,2,x,12
4,13222,東久留米市,47,x,x,2,x,7,6,-,4,4,-,x,x,x,24,15,6,x,10,x,14
4,13223,武蔵村山市,27,x,x,2,x,13,-,1,4,2,-,x,x,x,5,12,4,x,4,x,6
4,13224,多摩市,17,x,x,2,x,4,2,-,-,-,-,x,x,x,8,7,6,x,-,x,8
4,13225,稲城市,118,x,x,9,112,11,9,-,48,81,1,x,x,x,30,10,18,x,8,x,12
4,13227,羽村市,11,x,x,1,x,2,2,-,1,-,-,x,x,x,4,1,-,x,3,x,5
4,13228,あきる野市,56,x,x,5,96,8,7,-,-,2,-,x,x,x,19,28,13,x,6,x,13
4,13229,西東京市,47,x,x,5,26,8,5,-,10,7,-,x,x,x,25,9,7,x,5,x,7
1,13550,町村部,99,76,1659,49,340,3,25,1,1,2,-,1,x,2,7,18,6,3,2,x,72
2,13300,西多摩郡,32,32,598,2,x,3,1,1,1,2,-,x,x,x,7,18,6,x,2,x,14
4,13303,瑞穂町,16,x,x,-,-,2,1,1,1,2,-,x,x,x,5,8,3,x,1,x,7
4,13305,日の出町,14,x,x,1,x,1,-,-,-,-,-,x,x,x,1,9,2,x,1,x,6
4,13307,檜原村,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13308,奥多摩町,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13350,島部,67,44,1061,47,x,-,24,-,-,-,-,x,x,x,-,-,-,x,-,x,58
3,13360,大島支庁,14,x,x,8,x,-,2,-,-,-,-,x,x,x,-,-,-,x,-,x,12
4,13361,大島町,9,x,x,4,6,-,2,-,-,-,-,x,x,x,-,-,-,x,-,x,7
4,13362,利島村,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
4,13363,新島村,2,x,x,1,x,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,2
4,13364,神津島村,3,x,x,3,19,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,3
3,13380,三宅支庁,5,x,x,5,x,-,1,-,-,-,-,x,x,x,-,-,-,x,-,x,4
4,13381,三宅村,5,x,x,5,x,-,1,-,-,-,-,x,x,x,-,-,-,x,-,x,4
4,13382,御蔵島村,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
3,13400,八丈支庁,15,x,x,11,62,-,3,-,-,-,-,x,x,x,-,-,-,x,-,x,13
4,13401,八丈町,15,x,x,11,62,-,3,-,-,-,-,x,x,x,-,-,-,x,-,x,13
4,13402,青ケ島村,-,x,x,-,-,-,-,-,-,-,-,x,x,x,-,-,-,x,-,x,-
3,13420,小笠原支庁,33,x,x,23,247,-,18,-,-,-,-,x,x,x,-,-,-,x,-,x,29
4,13421,小笠原村,33,x,x,23,247,-,18,-,-,-,-,x,x,x,-,-,-,x,-,x,29
,,,,,,,,,,,,,,,,,,,,,,,
2020年農林業センサス,,,,,,,,,,,,,,,,,,,,,,,
第14表　区市町村、販売目的で栽培した果樹類の栽培経営体数、栽培面積及び品目別栽培経営体数,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,,,,,,,,
