地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,15～19歳／計（人）,15～19歳／男（人）,15～19歳／女（人）,20～24歳／計（人）,20～24歳／男（人）,20～24歳／女（人）,25～29歳／計（人）,25～29歳／男（人）,25～29歳／女（人）,30～34歳／計（人）,30～34歳／男（人）,30～34歳／女（人）,35～39歳／計（人）,35～39歳／男（人）,35～39歳／女（人）,40～44歳／計（人）,40～44歳／男（人）,40～44歳／女（人）,45～49歳／計（人）,45～49歳／男（人）,45～49歳／女（人）,50～54歳／計（人）,50～54歳／男（人）,50～54歳／女（人）,55～59歳／計（人）,55～59歳／男（人）,55～59歳／女（人）,60～64歳／計（人）,60～64歳／男（人）,60～64歳／女（人）,65～69歳／計（人）,65～69歳／男（人）,65～69歳／女（人）,70～74歳／計（人）,70～74歳／男（人）,70～74歳／女（人）,75～79歳／計（人）,75～79歳／男（人）,75～79歳／女（人）,80～84歳／計（人）,80～84歳／男（人）,80～84歳／女（人）,85歳以上／計（人）,85歳以上／男（人）,85歳以上／女（人）
0,13000,東京都総数,7974,5072,2902,2,2,-,20,14,6,89,74,15,186,153,33,245,196,49,309,228,81,407,280,127,534,348,186,698,448,250,913,567,346,1088,705,383,1010,635,375,908,532,376,816,456,360,749,434,315
1,13100,区部,1377,847,530,-,-,-,2,1,1,16,15,1,37,31,6,37,34,3,55,45,10,78,47,31,102,70,32,133,83,50,174,100,74,169,108,61,152,91,61,150,79,71,144,76,68,128,67,61
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13111,大田区,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-
4,13112,世田谷区,302,196,106,-,-,-,2,1,1,3,2,1,9,8,1,8,7,1,15,13,2,9,8,1,18,15,3,22,15,7,42,26,16,45,33,12,47,27,20,28,15,13,30,17,13,24,9,15
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-
4,13115,杉並区,93,64,29,-,-,-,-,-,-,1,1,-,3,2,1,4,4,-,3,2,1,11,8,3,2,2,-,9,7,2,8,4,4,11,7,4,13,9,4,11,5,6,13,10,3,4,3,1
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,31,20,11,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,1,1,-,3,2,1,4,3,1,2,1,1,5,2,3,2,2,-,3,1,2,1,-,1,7,5,2
4,13120,練馬区,487,298,189,-,-,-,-,-,-,7,7,-,17,16,1,12,10,2,12,11,1,19,12,7,36,22,14,53,32,21,70,40,30,68,44,24,50,27,23,43,28,15,47,23,24,53,26,27
4,13121,足立区,117,68,49,-,-,-,-,-,-,1,1,-,2,1,1,3,3,-,5,5,-,15,8,7,8,5,3,9,5,4,13,6,7,10,7,3,12,7,5,18,10,8,14,6,8,7,4,3
4,13122,葛飾区,148,79,69,-,-,-,-,-,-,-,-,-,5,4,1,2,2,-,9,6,3,10,4,6,10,7,3,13,6,7,19,9,10,16,10,6,13,8,5,16,8,8,17,6,11,18,9,9
4,13123,江戸川区,185,111,74,-,-,-,-,-,-,4,4,-,1,-,1,6,6,-,9,6,3,12,6,6,25,17,8,20,12,8,17,12,5,13,4,9,15,11,4,28,10,18,22,14,8,13,9,4
