地域階層,地域コード,地域,所有耕地／計／実経営体数（経営体）,所有耕地／計／面積（a）,所有耕地／田／経営体数（経営体）,所有耕地／田／面積（a）,所有耕地／畑（樹園地を除く）／経営体数（経営体）,所有耕地／畑（樹園地を除く）／面積（a）,所有耕地／樹園地／経営体数（経営体）,所有耕地／樹園地／面積（a）,借入耕地／計／実経営体数（経営体）,借入耕地／計／面積（a）,借入耕地／田／経営体数（経営体）,借入耕地／田／面積（a）,借入耕地／畑（樹園地を除く）／経営体数（経営体）,借入耕地／畑（樹園地を除く）／面積（a）,借入耕地／樹園地／経営体数（経営体）,借入耕地／樹園地／面積（a）,貸付耕地／計／実経営体数（経営体）,貸付耕地／計／面積（a）,貸付耕地／田／経営体数（経営体）,貸付耕地／田／面積（a）,貸付耕地／畑（樹園地を除く）／経営体数（経営体）,貸付耕地／畑（樹園地を除く）／面積（a）,貸付耕地／樹園地／経営体数（経営体）,貸付耕地／樹園地／面積（a）
0,13000,東京都総数,4998,323031,332,12473,4392,232784,1894,77774,458,31174,32,954,370,23729,104,6491,393,9497,40,1186,327,7003,42,1308
1,13100,区部,798,45465,48,4806,728,34887,236,5772,29,5298,3,187,24,5072,2,39,62,1944,13,759,45,1049,6,136
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,5,2674,-,-,5,2674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
