地域階層,地域コード,都道府県,総数／計（人）,総数／男（人）,総数／女（人）,15～19歳／計（人）,15～19歳／男（人）,15～19歳／女（人）,20～24歳／計（人）,20～24歳／男（人）,20～24歳／女（人）,25～29歳／計（人）,25～29歳／男（人）,25～29歳／女（人）,30～34歳／計（人）,30～34歳／男（人）,30～34歳／女（人）,35～39歳／計（人）,35～39歳／男（人）,35～39歳／女（人）,40～44歳／計（人）,40～44歳／男（人）,40～44歳／女（人）,45～49歳／計（人）,45～49歳／男（人）,45～49歳／女（人）,50～54歳／計（人）,50～54歳／男（人）,50～54歳／女（人）,55～59歳／計（人）,55～59歳／男（人）,55～59歳／女（人）,60～64歳／計（人）,60～64歳／男（人）,60～64歳／女（人）,65～69歳／計（人）,65～69歳／男（人）,65～69歳／女（人）,70～74歳／計（人）,70～74歳／男（人）,70～74歳／女（人）,75～79歳／計（人）,75～79歳／男（人）,75～79歳／女（人）,80～84歳／計（人）,80～84歳／男（人）,80～84歳／女（人）,85歳以上／計（人）,85歳以上／男（人）,85歳以上／女（人）
0,0,全国総数,1363038,822144,540894,607,415,192,4661,3800,861,10796,8497,2299,20252,15310,4942,30219,21604,8615,37702,25815,11887,43231,27462,15769,50169,29524,20645,76733,42503,34230,140047,77224,62823,252668,149104,103564,264193,162649,101544,196217,115086,81131,144412,87204,57208,91131,55947,35184
1,1,北海道,70643,40423,30220,90,67,23,804,682,122,1700,1315,385,3159,2240,919,4344,2871,1473,5039,3068,1971,5203,2874,2329,5459,2906,2553,7430,3970,3460,8785,4603,4182,10343,5538,4805,8047,4443,3604,5110,2759,2351,3266,1917,1349,1864,1170,694
1,2,青森,48083,26576,21507,18,12,6,212,169,43,495,378,117,923,692,231,1360,960,400,1539,1070,469,1844,1186,658,2454,1392,1062,3801,2004,1797,6111,3021,3090,8894,4605,4289,8347,4615,3732,5818,2984,2834,4154,2283,1871,2113,1205,908
1,3,岩手,44458,25255,19203,14,12,2,97,75,22,232,169,63,468,366,102,730,539,191,863,600,263,951,619,332,1251,744,507,2261,1212,1049,4807,2485,2322,9200,5043,4157,8795,5206,3589,6717,3602,3115,5142,2919,2223,2930,1664,1266
1,4,宮城,32818,20675,12143,14,10,4,82,68,14,202,162,40,352,276,76,629,492,137,723,544,179,756,522,234,831,531,300,1650,920,730,3900,2093,1807,7888,4762,3126,6667,4302,2365,4238,2716,1522,3159,2097,1062,1727,1180,547
1,5,秋田,33720,21479,12241,5,2,3,97,77,20,231,174,57,397,319,78,619,492,127,777,598,179,819,574,245,977,673,304,1737,1052,685,3923,2287,1636,7729,4650,3079,7283,4636,2647,4581,2909,1672,3073,2022,1051,1472,1014,458
1,6,山形,39034,24620,14414,6,5,1,129,118,11,318,272,46,579,463,116,906,683,223,1127,848,279,1040,725,315,1238,803,435,2379,1434,945,4667,2749,1918,8427,5063,3364,7601,4836,2765,4945,3043,1902,3743,2309,1434,1929,1269,660
1,7,福島,51599,30328,21271,26,12,14,97,72,25,238,192,46,453,349,104,707,527,180,999,715,284,1015,683,332,1293,806,487,2471,1416,1055,5704,3024,2680,11336,6342,4994,10536,6511,4025,7715,4490,3225,5788,3322,2466,3221,1867,1354
1,8,茨城,57496,34390,23106,34,27,7,209,171,38,503,406,97,868,659,209,1330,978,352,1684,1178,506,1822,1194,628,2001,1157,844,2997,1603,1394,5902,3128,2774,11273,6475,4798,11285,6791,4494,8313,4958,3355,5874,3589,2285,3401,2076,1325
1,9,栃木,42914,25613,17301,11,10,1,122,97,25,320,258,62,638,498,140,964,732,232,1318,927,391,1369,876,493,1418,804,614,2186,1190,996,4746,2491,2255,9232,5367,3865,8575,5230,3345,5445,3199,2246,4148,2497,1651,2422,1437,985
