地域階層,地域コード,地域,総農家（戸）,販売農家（戸）,販売農家／法人化している（戸）,自給的農家（戸）
0,13000,東京都総数,9567,4606,17,4961
1,13100,区部,1251,700,3,551
4,13101,千代田区,-,-,-,-
4,13102,中央区,-,-,-,-
4,13103,港区,-,-,-,-
4,13104,新宿区,2,1,-,1
4,13105,文京区,1,-,-,1
4,13106,台東区,1,1,-,-
4,13107,墨田区,1,-,-,1
4,13108,江東区,1,-,-,1
4,13109,品川区,-,-,-,-
4,13110,目黒区,8,5,-,3
4,13111,大田区,5,3,-,2
4,13112,世田谷区,312,171,3,141
4,13113,渋谷区,1,-,-,1
4,13114,中野区,9,2,-,7
4,13115,杉並区,95,53,-,42
4,13116,豊島区,1,-,-,1
4,13117,北区,-,-,-,-
4,13118,荒川区,1,-,-,1
4,13119,板橋区,52,18,-,34
4,13120,練馬区,394,242,-,152
6,,練馬,136,83,-,53
6,,大泉,146,92,-,54
6,,石神井,112,67,-,45
4,13121,足立区,119,54,-,65
4,13122,葛飾区,105,65,-,40
4,13123,江戸川区,143,85,-,58
1,13200,市部,6853,3299,10,3554
4,13201,八王子市,1012,324,-,688
6,,八王子市,128,49,-,79
6,,横山村,62,13,-,49
6,,浅川町,45,5,-,40
6,,元八王子村,117,37,-,80
6,,恩方村,129,32,-,97
6,,川口村,170,50,-,120
6,,加住村,148,61,-,87
6,,由井村,91,42,-,49
6,,由木村,122,35,-,87
4,13202,立川市,277,209,1,68
5,,立川市,10,3,-,7
6,,富士見3－6,3,-,-,3
6,,富士見4－5,-,-,-,-
6,,柴崎1,2,2,-,-
6,,柴崎4,2,1,-,1
6,,錦5,-,-,-,-
6,,錦6,2,-,-,2
6,,高松1・錦2,1,-,-,1
5,,砂川町,267,206,1,61
6,,中里,33,27,-,6
6,,宮沢,13,13,-,-
6,,殿ケ谷,16,14,-,2
6,,一番組,46,36,-,10
6,,二番組,27,25,-,2
6,,三番組,22,15,1,7
6,,四番組,6,3,-,3
6,,五番組,23,11,-,12
6,,六番組,14,12,-,2
6,,七番組,11,5,-,6
6,,八番組,18,16,-,2
6,,中砂,-,-,-,-
6,,九番組,9,8,-,1
6,,十番組,13,11,-,2
6,,南砂川,16,10,-,6
4,13203,武蔵野市,59,49,-,10
6,,本宿,1,-,-,1
6,,野田第1,8,7,-,1
6,,野田第2,1,-,-,1
6,,西窪,5,5,-,-
