地域階層,地域コード,地域,計（経営体）,販売なし（経営体）,50万円未満（経営体）,50万円～100万円未満（経営体）,100万円～300万円未満（経営体）,300万円～500万円未満（経営体）,500万円～1000万円未満（経営体）,1000万円～3000万円未満（経営体）,3000万円～5000万円未満（経営体）,5000万円～1億円未満（経営体）,1億円～2億円未満（経営体）,2億円～3億円未満（経営体）,3億円～5億円未満（経営体）,5億円以上（経営体）
0,13000,東京都総数,5117,615,1172,743,1303,524,491,211,36,14,5,-,1,2
1,13100,区部,809,53,163,148,236,85,79,33,5,3,2,-,-,2
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,5,-,-,-,-,-,1,1,-,2,1,-,-,-
4,13103,港区,1,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,1,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,2,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,2,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,6,1,-,3,2,-,-,-,-,-,-,-,-,-
4,13111,大田区,5,1,-,-,1,1,-,1,-,-,1,-,-,-
4,13112,世田谷区,195,5,38,52,67,19,9,2,2,-,-,-,-,1
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,4,-,1,-,2,-,1,-,-,-,-,-,-,-
4,13115,杉並区,60,2,14,10,25,4,3,2,-,-,-,-,-,-
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,23,3,5,3,10,1,1,-,-,-,-,-,-,-
4,13120,練馬区,275,21,65,46,70,29,33,10,1,-,-,-,-,-
4,13121,足立区,58,3,9,13,14,6,6,6,1,-,-,-,-,-
4,13122,葛飾区,70,2,8,8,24,16,9,3,-,-,-,-,-,-
4,13123,江戸川区,102,15,22,12,19,9,16,8,1,-,-,-,-,-
1,13200,市部,3629,469,854,489,893,377,360,150,23,11,2,-,1,-
4,13201,八王子市,342,58,88,41,65,27,35,21,4,3,-,-,-,-
4,13202,立川市,244,39,56,25,57,26,22,14,2,2,1,-,-,-
4,13203,武蔵野市,54,-,7,8,23,11,4,-,-,-,-,-,1,-
4,13204,三鷹市,206,12,40,34,64,22,29,5,-,-,-,-,-,-
4,13205,青梅市,138,49,26,12,22,12,11,4,2,-,-,-,-,-
4,13206,府中市,156,10,31,20,47,24,14,8,-,2,-,-,-,-
4,13207,昭島市,55,8,13,6,15,7,1,4,-,1,-,-,-,-
4,13208,調布市,129,6,27,18,36,18,16,6,2,-,-,-,-,-
4,13209,町田市,323,62,86,59,76,16,17,5,2,-,-,-,-,-
4,13210,小金井市,88,6,27,11,28,8,3,5,-,-,-,-,-,-
4,13211,小平市,209,6,59,36,55,16,27,8,2,-,-,-,-,-
4,13212,日野市,129,11,21,20,43,17,11,5,1,-,-,-,-,-
4,13213,東村山市,168,12,53,19,44,16,16,7,1,-,-,-,-,-
4,13214,国分寺市,160,16,43,22,37,14,19,8,1,-,-,-,-,-
4,13215,国立市,51,4,10,10,16,6,5,-,-,-,-,-,-,-
4,13218,福生市,12,1,5,3,1,1,1,-,-,-,-,-,-,-
4,13219,狛江市,58,1,11,6,27,5,7,-,-,1,-,-,-,-
4,13220,東大和市,74,14,20,10,14,11,3,1,1,-,-,-,-,-
4,13221,清瀬市,155,10,25,19,35,23,29,11,2,1,-,-,-,-
4,13222,東久留米市,180,12,49,22,46,25,15,11,-,-,-,-,-,-
4,13223,武蔵村山市,142,37,32,22,28,12,10,1,-,-,-,-,-,-
4,13224,多摩市,23,2,9,3,4,2,1,2,-,-,-,-,-,-
4,13225,稲城市,160,12,28,17,39,23,33,8,-,-,-,-,-,-
4,13227,羽村市,58,14,14,8,13,5,2,2,-,-,-,-,-,-
4,13228,あきる野市,175,56,39,17,25,15,13,7,2,-,1,-,-,-
4,13229,西東京市,140,11,35,21,33,15,16,7,1,1,-,-,-,-
1,13550,町村部,679,93,155,106,174,62,52,28,8,-,1,-,-,-
2,13300,西多摩郡,172,47,34,18,28,11,10,18,5,-,1,-,-,-
4,13303,瑞穂町,117,30,24,12,19,8,5,15,3,-,1,-,-,-
4,13305,日の出町,51,16,10,4,9,3,5,3,1,-,-,-,-,-
4,13307,檜原村,3,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13308,奥多摩町,1,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13350,島部,507,46,121,88,146,51,42,10,3,-,-,-,-,-
3,13360,大島支庁,130,9,39,28,30,17,4,2,1,-,-,-,-,-
4,13361,大島町,75,9,11,11,21,16,4,2,1,-,-,-,-,-
4,13362,利島村,30,-,18,10,2,-,-,-,-,-,-,-,-,-
4,13363,新島村,15,-,8,4,2,1,-,-,-,-,-,-,-,-
4,13364,神津島村,10,-,2,3,5,-,-,-,-,-,-,-,-,-
3,13380,三宅支庁,30,9,5,2,11,2,-,1,-,-,-,-,-,-
4,13381,三宅村,23,5,2,2,11,2,-,1,-,-,-,-,-,-
4,13382,御蔵島村,7,4,3,-,-,-,-,-,-,-,-,-,-,-
3,13400,八丈支庁,310,27,65,50,101,31,27,7,2,-,-,-,-,-
4,13401,八丈町,306,27,63,49,101,30,27,7,2,-,-,-,-,-
4,13402,青ケ島村,4,-,2,1,-,1,-,-,-,-,-,-,-,-
3,13420,小笠原支庁,37,1,12,8,4,1,11,-,-,-,-,-,-,-
4,13421,小笠原村,37,1,12,8,4,1,11,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
2020年農林業センサス,,,,,,,,,,,,,,,,
第5表　区市町村、農産物販売金額規模別経営体数（農業経営体）,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,
