階層コード,地域コード,地域,人口総数／平成20年４月１日,人口総数／平成20年３月１日,人口総数／平成19年４月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12857373,12828857,12737099,28516,0.22,120274,0.94
1,13100,区部,8742506,8718453,8651269,24053,0.28,91237,1.05
1,13200,市部,4026638,4021591,3996778,5047,0.13,29860,0.75
1,13300,郡部,59797,59875,60204,-78,-0.13,-407,-0.68
1,13350,島部,28432,28938,28848,-506,-1.75,-416,-1.44
,,,,,,,,,
住民基本台帳による世帯と人口　平成20年４月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
