No.,名称,所在地,面積（㎡),開園年月日,区有地,国有地,都有地,民有地,利用時間等の制限,備考,だれでもトイレ,簡易型だれでもトイレ,ユニットトイレ,緯度,経度
1,オーパス夢ひろば,大橋1-9-4,2985.35,H25.3.30,,,,有,有,,有,,,35.65135939,139.6882184
2,目黒川船入場,中目黒1-11-18,2716,H6.3.31,,有,,,,,,,有,35.64167567,139.7018468
3,ふれあい橋,目黒1-25先～同2-4先,730.89,H4.3.29,,,,,,,,,,35.636544,139.708505
4,不動ふれあい広場,下目黒5-37-17,49.77,H6.2.3,有,,,,,,,,,35.62637303,139.7077576
5,羅漢寺川ふれあい広場,下目黒6-8-28,207.96,H4.2.1,有,,,,,,,,,35.62626948,139.7009656
6,西小山ニコニコ広場,原町1-17-6,65.58,H22.9.10,有,,,,,,,,,35.61691205,139.6960103
7,洗足駅前ふれあい広場,洗足2-6-8,287.34,H21.9.1,,,,有,,,,,,35.61063858,139.6945891
8,子の神ふれあい広場,南1-8-15,167.83,H2.5.8,有,,,,,,,,,35.61538456,139.6891295
9,都立大学駅高架下広場,中根1-5先,116.4,H20.2.18,,有,,有,,,,,,35.61673,139.675439
10,めぐろ区民キャンパス広場,八雲1-1-12,2800.09,H14.9.1,,,有,,,,,,,35.62090326,139.6741405
