"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（利用したことがある）[人]","知っているが利用したことはない[人]","知らない[人]","無回答[人]"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","全体",,"658","49","210","397","2"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性（計）","248","12","65","170","1"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","0","3","20","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","2","6","27","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","2","7","32","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","2","14","33","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","2","12","25","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","4","22","33","1"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性（計）","400","37","141","221","1"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","1","9","18","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","9","15","41","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","13","27","55","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","8","27","47","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","2","27","26","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","4","36","34","1"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","無回答","10","0","4","6","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","7","36","49","0"
"202003","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","21","69","190","0"
