"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","廃止届収受日","施設種別"
"202406","ＳＴＵＤＩＯ　ＢＬＵＥ（スタジオ　ブルー）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル5階","2024/6/26","旅館・ホテル営業"
"202406","ＳＴＵＤＩＯ　ＷＨＩＴＥ（スタジオ　ホワイト）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル6階","2024/6/26","旅館・ホテル営業"

"旅館業施設廃止一覧(令和6年6月30日現在)","Ver202406",,,,,
