FID,,名称,種別,種別2,位置,経度,緯度,供用開始日,面積（㎡）
4,1,上水公園,都市公園,近隣公園,小金井市桜町二丁目2番,139.50516,35.70893,昭和39年3月31日,"16,663 "
3,2,上の原公園,都市公園,街区公園,小金井市本町五丁目6番,139.50149,35.70252,昭和42年5月5日,"2,025 "
5,3,桜町公園,都市公園,街区公園,小金井市桜町一丁目4番,139.50938,35.70941,昭和57年6月1日,888 
2,4,三楽公園,都市公園,街区公園,小金井市貫井南町三丁目6番,139.49557,35.69924,昭和57年9月1日,"3,473 "
6,5,浴恩館公園,都市公園,近隣公園,小金井市緑町三丁目2番、同町四丁目15番,139.51714,35.71024,昭和63年4月1日,"14,278 "
1,6,栗山公園,都市公園,近隣公園,小金井市中町二丁目21番,139.52147,35.6985,平成6年10月1日,"15,882 "
9,7,前原町三丁目公園,都市公園,街区公園,小金井市前原町三丁目34番,139.50294,35.6967,平成12年8月11日,705 
7,8,ぐみの木公園,都市公園,街区公園,小金井市前原町四丁目4番,139.50392,35.6868,平成12年10月1日,747 
8,9,小長久保公園,都市公園,街区公園,小金井市本町三丁目13番,139.51035,35.70787,平成17年12月1日,"2,708 "
13,10,梶野公園,都市公園,近隣公園,小金井市梶野町五丁目10番,139.5264,35.703,平成23年2月19日,"9,707 "
14,11,貫井けやき公園,都市公園,街区公園,小金井市貫井南町四丁目14番,139.49444,35.69561,平成24年3月30日,818 
84,12,シャラノキ公園,都市公園以外の公園,児童遊園,小金井市東町一丁目22番,139.53034,35.69104,昭和55年3月4日,451 
81,13,やまばと公園,都市公園以外の公園,児童遊園,小金井市東町二丁目5番,139.53201,35.69518,昭和60年3月31日,999 
79,14,東町二丁目第２児童遊園,都市公園以外の公園,児童遊園,小金井市東町二丁目25番,139.53308,35.70006,昭和52年6月15日,129 
76,15,東町三丁目児童遊園,都市公園以外の公園,児童遊園,小金井市東町三丁目9番,139.53005,35.69844,昭和41年3月31日,632 
77,16,東町三丁目第２児童遊園,都市公園以外の公園,児童遊園,小金井市東町三丁目17番,139.53176,35.70103,昭和54年9月14日,202 
78,17,パンダ公園,都市公園以外の公園,児童遊園,小金井市東町三丁目15番,139.53322,35.70042,昭和55年3月31日,"1,017 "
75,18,東町シナノキ公園,都市公園以外の公園,児童遊園,小金井市東町四丁目23番,139.52699,35.69741,平成6年8月10日,744 
