"年","東京都[人]","23区[人]","千代田区[人]","中央区[人]","港区[人]","新宿区[人]","文京区[人]","台東区[人]","墨田区[人]","江東区[人]","品川区[人]","目黒区[人]","大田区[人]","世田谷区[人]","渋谷区[人]","中野区[人]","杉並区[人]","豊島区[人]","北区[人]","荒川区[人]","板橋区[人]","練馬区[人]","足立区[人]","葛飾区[人]","江戸川区[人]"
1995,14571809,11191345,949900,700865,849786,806095,345087,342681,270261,438253,462609,269947,647545,688081,536851,261174,411526,424002,318682,175354,461963,476777,530895,347157,475854
2000,14666899,11125135,855172,648366,837658,798611,342603,317700,257972,454680,478529,267322,655573,706522,549715,272250,427162,408802,308653,176358,470917,507286,535321,345365,502598
2005,14977580,11284699,853382,647733,908940,770094,336229,303522,262514,490708,505034,271320,657209,736040,542803,285636,439379,378475,307317,184021,456425,530628,539309,343039,534942
2010,15576130,11711537,819247,605926,886173,750120,345423,294756,279272,548976,527019,293382,684451,812810,520698,289176,480172,422995,321581,191626,493747,588243,608632,376235,570877
2015,15920405,12033592,853068,608603,940785,775549,346132,303931,279181,608532,544022,293832,693865,856870,539109,313270,479975,417146,329753,194004,508099,605084,608968,372335,561479

"平成30年度港区行政資料集　都・区別昼夜間人口の推移(昼間人口)","Ver201603",,,,,,,,,,,,,,,,,,,,,,,,
