番号,項目,回答数（人）,回答数（％）
1,友人・家族等と会う（帰省等含む）,175 ,18.0 
2,買い物をする,683 ,70.2 
3,店舗や屋外で飲食を行う,212 ,21.8 
4,友人の家等で飲食を行う,96 ,9.9 
5,観光地に行く,78 ,8.0 
6,イベントに参加する,84 ,8.6 
7,散歩や運動を行う,397 ,40.8 
8,通院する,152 ,15.6 
9,その他,72 ,7.4 
全体,,973 ,100.0 
