番号,項目,回答数（人）,回答数（％）
1,ＬＩＮＥ,1031,79.3
2,Ｔｗｉｔｔｅｒ,725,55.8
3,Ｉｎｓｔａｇｒａｍ,645,49.6
4,Ｆａｃｅｂｏｏｋ,271,20.8
5,ＴｉｋＴｏｋ,136,10.5
6,ＹｏｕＴｕｂｅ,833,64.1
7,当てはまるものはない,103,7.9
全体,,1300,100
