番号,項目,回答数（人）,回答数（％）
1,よくしている,40 ,3.1 
2,やったことがある,96 ,7.4 
3,やったことはないが、誘われるなど機会があればやるかもしれない,85 ,6.5 
4,やったことはないし、今後もやらない,1079 ,83.0 
全体,,1300 ,100.0 
