番号,項目,回答数（人）,回答数（％）
1,あと少しだけ我慢をお願いします。,154 ,11.8 
2,不要不急の外出は駄目です、止めてください。,180 ,13.8 
3,外出自粛にご協力いただきありがとうございます。,206 ,15.8 
4,あなたのいのちを守りましょう。,243 ,18.7 
5,家族、大切な人を守りましょう。,528 ,40.6 
6,ひとりひとりの行動がみんなの命を救います。,394 ,30.3 
7,コロナにかかると、後遺症（脱毛・味覚嗅覚異常・倦怠感等）が残る可能性があります。,464 ,35.7 
8,コロナにかかると、死に至る可能性があります。,407 ,31.3 
9,その外出、本当に必要ですか。,272 ,20.9 
10,その他,26 ,2.0 
11,特になし,342 ,26.3 
全体,,1300 ,100.0 
