国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,令和2年中の増減
総数,0,13000,総数,2388,-173,1211,5225,-856,-1510,-3649,-6133,-5039,-2747,4892,4472,-1919
総数,1,13100,区部,2303,-207,665,3607,-897,-1380,-3237,-5410,-4482,-2550,4316,4055,-3217
総数,1,13200,市部,75,19,532,1601,27,-134,-411,-708,-560,-177,567,412,1243
総数,2,13300,郡部,6,3,2,17,9,3,4,-5,-3,-22,5,1,20
総数,2,13350,島部,4,12,12,0,5,1,-5,-10,6,2,4,4,35
総数,1,13100,区部,2303,-207,665,3607,-897,-1380,-3237,-5410,-4482,-2550,4316,4055,-3217
総数,4,13101,千代田区,72,53,36,9,1,-8,-11,-47,-12,4,48,15,160
総数,4,13102,中央区,128,42,83,79,20,-9,-17,-79,-80,-34,92,-29,196
総数,4,13103,港区,361,158,122,282,-47,-181,-241,-394,-194,-154,181,-218,-325
総数,4,13104,新宿区,144,-280,-273,21,-189,-239,-436,-615,-496,-213,1088,1050,-438
総数,4,13105,文京区,20,-49,-32,219,-40,-12,-139,-188,-160,-96,144,162,-171
総数,4,13106,台東区,51,56,-33,98,-19,-42,-69,-115,-93,-93,175,331,247
総数,4,13107,墨田区,70,80,43,96,10,6,-42,-107,-58,-81,93,138,248
総数,4,13108,江東区,218,58,43,255,-54,-53,-111,-315,-397,-163,128,42,-349
総数,4,13109,品川区,101,-15,116,237,9,-23,-60,-125,-95,-57,18,-26,80
総数,4,13110,目黒区,-4,-18,58,292,29,32,-77,-121,-77,-47,71,8,146
総数,4,13111,大田区,64,-5,117,383,-32,-53,-134,-252,-245,-135,23,-20,-289
総数,4,13112,世田谷区,163,45,509,854,97,66,-17,-183,-190,-86,75,76,1409
総数,4,13113,渋谷区,106,34,30,131,-17,-32,-117,-125,-144,-88,87,-59,-194
総数,4,13114,中野区,-78,-79,-184,-34,-72,-148,-152,-317,-273,-166,289,205,-1009
総数,4,13115,杉並区,35,-112,32,266,-49,-47,-141,-246,-252,-110,126,136,-362
総数,4,13116,豊島区,22,-204,-164,5,-150,-246,-321,-442,-375,-198,541,717,-815
総数,4,13117,北区,31,-60,-73,84,-29,-93,-200,-280,-222,-108,213,343,-394
