地域階層,地域コード,地域,令和3年1月1日現在人口,令和2年中の動き／人口増減,令和2年中の動き／社会増減（他県との移動増減）,令和2年中の動き／社会増減（他県との移動増減）／転入数,令和2年中の動き／社会増減（他県との移動増減）／転出数,令和2年中の動き／都内間の移動増減,令和2年中の動き／都内間の移動増減／転入数,令和2年中の動き／都内間の移動増減／転出数,令和2年中の動き／自然増減,令和2年中の動き／自然増減／出生数,令和2年中の動き／自然増減／死亡数,令和2年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,令和2年1月1日現在人口 
0,13000,総数,13960236,8600,29618,431175,401557,-562,458163,458725,-18537,103641,122178,-1919,39493,2194.03,6363,13951636
1,13100,区部,9655266,2154,18766,332097,313331,-7517,340660,348177,-5878,75986,81864,-3217,31248,627.53,15386,9653112
1,13200,市部,4224446,7295,11005,97804,86799,6729,115036,108307,-11682,27235,38917,1243,9081,783.95,5389,4217151
2,13300,郡部,55951,-436,-23,648,671,302,1533,1231,-735,257,992,20,-411,375.86,149,56387
2,13350,島部,24573,-413,-130,626,756,-76,934,1010,-242,163,405,35,-425,406.69,60,24986
1,13100,区部,9655266,2154,18766,332097,313331,-7517,340660,348177,-5878,75986,81864,-3217,31248,627.53,15386,9653112
4,13101,千代田区,67165,1274,748,2959,2211,94,4249,4155,272,673,401,160,1445,11.66,5760,65891
4,13102,中央区,170016,2222,825,6583,5758,12,8765,8753,1189,2144,955,196,2405,10.21,16652,167794
4,13103,港区,258415,-1343,250,8848,8598,-2436,11975,14411,1168,2817,1649,-325,253,20.37,12686,259758
4,13104,新宿区,346467,-3221,573,15737,15164,-3201,19743,22944,-155,2591,2746,-438,1550,18.22,19016,349688
4,13105,文京区,236296,460,1010,8437,7427,-849,10008,10857,470,2109,1639,-171,1762,11.29,20930,235836
4,13106,台東区,210460,1216,952,8445,7493,459,10199,9740,-442,1612,2054,247,2185,10.11,20817,209244
4,13107,墨田区,270978,751,1346,10398,9052,-692,10681,11373,-151,2370,2521,248,1299,13.77,19679,270227
4,13108,江東区,523678,4466,2006,17313,15307,2619,18899,16280,190,4325,4135,-349,5095,42.99,12181,519212
4,13109,品川区,416492,4700,2709,16259,13550,1251,16122,14871,660,3845,3185,80,5258,22.84,18235,411792
4,13110,目黒区,287538,-157,293,10192,9899,-913,13055,13968,317,2353,2036,146,321,14.67,19600,287695
