国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,令和2年中の転入者数
総数,0,13000,総数,30815,35773,59420,51588,28226,32153,36635,36075,35235,36946,36193,39104,458163
総数,1,13100,区部,23446,26825,43296,38848,21510,24062,27100,26784,25983,27152,26667,28987,340660
総数,1,13200,市部,7246,8790,15778,12203,6593,7967,9378,9082,9037,9650,9349,9963,115036
総数,2,13300,郡部,95,123,184,146,105,100,131,151,115,105,157,121,1533
総数,2,13350,島部,28,35,162,391,18,24,26,58,100,39,20,33,934
総数,1,13100,区部,23446,26825,43296,38848,21510,24062,27100,26784,25983,27152,26667,28987,340660
総数,4,13101,千代田区,308,324,513,465,200,249,483,415,312,326,284,370,4249
総数,4,13102,中央区,681,657,1067,907,523,598,709,626,679,688,725,905,8765
総数,4,13103,港区,930,935,1501,1229,745,731,984,991,902,991,1014,1022,11975
総数,4,13104,新宿区,1312,1491,2278,2520,1244,1494,1572,1576,1563,1573,1458,1662,19743
総数,4,13105,文京区,697,794,1530,1168,590,700,785,766,751,722,747,758,10008
総数,4,13106,台東区,624,762,1150,1146,616,819,817,834,842,838,870,881,10199
総数,4,13107,墨田区,628,818,1185,1099,683,829,811,842,923,903,940,1020,10681
総数,4,13108,江東区,1020,1396,3062,2485,1180,1346,1384,1362,1461,1444,1364,1395,18899
総数,4,13109,品川区,1132,1339,2108,1958,1147,1364,1200,1183,1106,1129,1188,1268,16122
総数,4,13110,目黒区,876,1029,1663,1439,884,925,984,999,994,1015,992,1255,13055
総数,4,13111,大田区,1190,1300,2310,1679,1062,1144,1184,1223,1151,1234,1195,1267,15939
総数,4,13112,世田谷区,2043,2417,3835,3192,1923,2004,2386,2342,2162,2377,2145,2472,29298
総数,4,13113,渋谷区,968,1034,1668,1555,1041,1035,1092,1109,1014,1152,1128,1226,14022
総数,4,13114,中野区,1300,1453,2150,2070,1118,1252,1359,1409,1389,1326,1513,1574,17913
総数,4,13115,杉並区,1546,1924,2749,2468,1394,1501,1842,1788,1681,1891,1774,1855,22413
総数,4,13116,豊島区,1087,1210,1808,1971,1002,1052,1158,1209,1157,1310,1173,1277,15414
総数,4,13117,北区,977,928,1663,1564,826,941,1099,992,972,1020,948,1036,12966
総数,4,13118,荒川区,629,640,956,1012,520,616,645,624,570,606,605,737,8160
総数,4,13119,板橋区,1155,1354,2248,1994,1004,1130,1359,1423,1489,1505,1425,1563,17649
総数,4,13120,練馬区,1500,1848,2822,2505,1252,1544,1874,1846,1673,1810,1781,1816,22271
総数,4,13121,足立区,1104,1203,1854,1626,1024,1083,1292,1252,1188,1204,1303,1370,15503
総数,4,13122,葛飾区,763,867,1406,1263,651,791,987,873,847,926,890,970,11234
総数,4,13123,江戸川区,976,1102,1770,1533,881,914,1094,1100,1157,1162,1205,1288,14182
総数,1,13200,市部,7246,8790,15778,12203,6593,7967,9378,9082,9037,9650,9349,9963,115036
総数,4,13201,八王子市,587,813,1538,1155,585,751,864,843,798,806,830,884,10454
総数,4,13202,立川市,375,498,799,630,364,484,540,473,519,617,624,474,6397
総数,4,13203,武蔵野市,450,469,933,679,371,396,507,512,478,522,510,561,6388
総数,4,13204,三鷹市,442,507,1397,1065,417,486,613,580,597,659,548,613,7924
総数,4,13205,青梅市,182,231,379,249,153,207,223,219,208,249,191,206,2697
総数,4,13206,府中市,500,636,991,825,371,475,504,513,542,644,545,526,7072
総数,4,13207,昭島市,239,288,463,322,196,263,304,231,268,288,239,284,3385
総数,4,13208,調布市,605,609,1056,815,505,499,512,571,694,700,683,700,7949
総数,4,13209,町田市,292,360,698,548,307,329,412,410,426,424,382,443,5031
総数,4,13210,小金井市,308,303,691,495,291,504,554,422,422,394,471,520,5375
総数,4,13211,小平市,350,482,789,651,336,442,507,518,471,542,531,530,6149
総数,4,13212,日野市,321,486,729,500,314,305,431,417,416,422,433,449,5223
総数,4,13213,東村山市,254,286,504,449,249,262,330,355,383,338,350,353,4113
総数,4,13214,国分寺市,306,355,755,522,279,311,412,457,415,428,447,555,5242
総数,4,13215,国立市,171,216,352,315,176,196,194,207,226,216,202,218,2689
総数,4,13218,福生市,124,139,231,200,105,131,177,144,165,140,122,145,1823
総数,4,13219,狛江市,163,202,314,251,145,146,200,187,160,216,196,227,2407
総数,4,13220,東大和市,178,182,311,243,115,172,176,167,201,167,207,217,2336
総数,4,13221,清瀬市,115,129,227,162,114,140,197,188,168,178,155,174,1947
総数,4,13222,東久留米市,201,200,358,370,193,267,261,296,216,279,277,266,3184
総数,4,13223,武蔵村山市,132,153,195,165,95,107,158,88,123,132,124,214,1686
総数,4,13224,多摩市,199,287,428,347,215,250,300,269,234,260,253,299,3341
総数,4,13225,稲城市,122,141,287,230,118,157,160,143,158,178,172,223,2089
総数,4,13227,羽村市,82,120,172,154,65,61,122,124,107,99,127,125,1358
総数,4,13228,あきる野市,141,144,212,180,112,130,160,132,129,180,157,161,1838
総数,4,13229,西東京市,407,554,969,681,402,496,560,616,513,572,573,596,6939
総数,1,13550,町村部,123,158,346,537,123,124,157,209,215,144,177,154,2467
総数,2,13300,郡部,95,123,184,146,105,100,131,151,115,105,157,121,1533
総数,4,13303,瑞穂町,55,54,98,69,55,54,77,85,58,55,91,71,822
総数,4,13305,日の出町,29,41,54,57,28,33,34,45,42,31,52,34,480
総数,4,13307,檜原村,2,11,11,9,9,8,4,8,5,6,3,6,82
総数,4,13308,奥多摩町,9,17,21,11,13,5,16,13,10,13,11,10,149
総数,2,13350,島部,28,35,162,391,18,24,26,58,100,39,20,33,934
総数,3,13360,大島支庁,11,9,68,193,9,8,12,33,80,7,10,12,452
総数,4,13361,大島町,7,4,44,121,6,5,3,19,78,5,9,8,309
総数,4,13362,利島村,2,1,7,16,1,0,2,0,1,0,0,2,32
総数,4,13363,新島村,1,2,9,27,0,3,1,5,1,2,1,1,53
総数,4,13364,神津島村,1,2,8,29,2,0,6,9,0,0,0,1,58
総数,3,13380,三宅支庁,6,5,29,46,1,7,2,9,1,6,2,3,117
総数,4,13381,三宅村,6,4,27,38,1,6,2,7,1,6,2,2,102
総数,4,13382,御蔵島村,0,1,2,8,0,1,0,2,0,0,0,1,15
総数,3,13400,八丈支庁,9,14,46,87,5,6,9,9,11,17,3,15,231
総数,4,13401,八丈町,8,13,42,78,5,6,8,9,10,17,3,15,214
総数,4,13402,青ヶ島村,1,1,4,9,0,0,1,0,1,0,0,0,17
総数,3,13420,小笠原支庁,2,7,19,65,3,3,3,7,8,9,5,3,134
総数,4,13421,小笠原村,2,7,19,65,3,3,3,7,8,9,5,3,134
日本人,0,13000,総数,26664,31167,50601,42870,24819,28535,32595,32313,31225,32768,32270,34677,400504
日本人,1,13100,区部,19753,22896,36171,31440,18532,20930,23620,23553,22548,23646,23323,25167,291579
日本人,1,13200,市部,6791,8119,14088,10903,6172,7485,8828,8555,8464,8986,8783,9357,106531
日本人,2,13300,郡部,92,117,180,136,97,96,123,148,113,98,146,120,1466
日本人,2,13350,島部,28,35,162,391,18,24,24,57,100,38,18,33,928
日本人,1,13100,区部,19753,22896,36171,31440,18532,20930,23620,23553,22548,23646,23323,25167,291579
日本人,4,13101,千代田区,287,297,466,419,180,229,428,395,284,294,256,336,3871
日本人,4,13102,中央区,605,583,958,801,475,527,637,567,596,615,661,796,7821
日本人,4,13103,港区,818,830,1322,1088,657,657,875,885,802,888,901,889,10612
