国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,令和2年中の転出者数
総数,0,13000,総数,23523,28301,69827,46778,23533,27197,30971,31685,31255,30993,27566,29928,401557
総数,1,13100,区部,18207,21805,51894,36342,18524,21467,24356,24929,24897,24747,22076,24087,313331
総数,1,13200,市部,5226,6400,17546,10248,4939,5650,6526,6645,6264,6167,5432,5756,86799
総数,2,13300,郡部,49,53,129,79,34,46,55,52,45,44,30,55,671
総数,2,13350,島部,41,43,258,109,36,34,34,59,49,35,28,30,756
総数,1,13100,区部,18207,21805,51894,36342,18524,21467,24356,24929,24897,24747,22076,24087,313331
総数,4,13101,千代田区,121,156,417,332,132,141,162,166,138,122,146,178,2211
総数,4,13102,中央区,316,327,915,673,346,424,469,474,500,452,407,455,5758
総数,4,13103,港区,461,524,1151,921,589,661,720,762,737,734,637,701,8598
総数,4,13104,新宿区,825,969,2766,2064,949,1085,1068,1088,1138,1130,937,1145,15164
総数,4,13105,文京区,375,463,1664,972,357,452,506,559,601,518,448,512,7427
総数,4,13106,台東区,441,498,1226,885,420,525,614,602,610,543,537,592,7493
総数,4,13107,墨田区,592,686,1285,962,541,647,718,744,725,788,658,706,9052
総数,4,13108,江東区,830,1011,2584,1676,924,1092,1162,1243,1318,1262,1080,1125,15307
総数,4,13109,品川区,757,858,2057,1601,772,797,992,1063,1153,1164,1152,1184,13550
総数,4,13110,目黒区,546,631,1372,1235,571,666,819,892,791,798,729,849,9899
総数,4,13111,大田区,1618,1867,3793,3090,1609,1695,1913,2175,2121,2367,1938,2305,26491
総数,4,13112,世田谷区,1631,2091,4639,3339,1804,1949,2284,2316,2342,2252,2027,2146,28820
総数,4,13113,渋谷区,397,470,978,884,481,544,622,674,639,627,572,629,7517
総数,4,13114,中野区,620,846,2087,1464,690,779,928,972,916,883,838,855,11878
総数,4,13115,杉並区,926,1193,2897,2041,967,1125,1310,1384,1412,1279,1113,1145,16792
総数,4,13116,豊島区,660,875,2108,1527,741,857,854,946,956,947,857,864,12192
総数,4,13117,北区,821,1013,2319,1687,789,909,1106,1058,993,996,991,1016,13698
総数,4,13118,荒川区,434,487,1110,777,356,464,533,541,503,533,442,581,6761
総数,4,13119,板橋区,1162,1335,3221,2121,1093,1275,1555,1551,1473,1482,1392,1436,19096
