国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和2年中の死亡数
日本人,0,13000,総数,12598,9635,10613,10039,9246,9174,9342,9724,9721,10235,10316,10570,121213
日本人,1,13100,区部,8426,6366,7149,6725,6282,6132,6284,6480,6513,6885,6807,7033,81082
日本人,1,13200,市部,4012,3140,3349,3194,2883,2946,2944,3145,3092,3217,3390,3424,38736
日本人,2,13300,郡部,115,97,76,81,57,80,81,69,81,96,85,72,990
日本人,2,13350,島部,45,32,39,39,24,16,33,30,35,37,34,41,405
日本人,1,13100,区部,8426,6366,7149,6725,6282,6132,6284,6480,6513,6885,6807,7033,81082
日本人,4,13101,千代田区,44,34,31,31,23,32,41,34,33,32,33,30,398
日本人,4,13102,中央区,99,65,88,72,64,70,87,81,56,81,101,75,939
日本人,4,13103,港区,166,128,142,131,107,115,136,130,124,157,148,135,1619
日本人,4,13104,新宿区,259,206,242,246,188,209,203,262,195,211,259,232,2712
日本人,4,13105,文京区,173,135,151,130,131,116,106,134,115,147,130,159,1627
日本人,4,13106,台東区,196,133,186,155,155,170,171,165,182,173,180,157,2023
日本人,4,13107,墨田区,257,202,237,228,199,185,174,187,208,194,207,220,2498
日本人,4,13108,江東区,427,288,357,353,329,316,331,325,369,356,308,335,4094
日本人,4,13109,品川区,299,260,270,268,251,236,255,260,266,245,270,263,3143
日本人,4,13110,目黒区,210,160,178,172,185,164,145,160,168,158,159,158,2017
日本人,4,13111,大田区,684,486,600,536,516,544,492,557,550,560,580,598,6703
日本人,4,13112,世田谷区,729,564,575,586,567,495,536,492,537,591,545,594,6811
日本人,4,13113,渋谷区,142,128,117,124,118,125,126,127,130,162,121,115,1535
日本人,4,13114,中野区,283,218,232,243,207,217,212,242,239,240,231,243,2807
日本人,4,13115,杉並区,523,393,452,349,339,345,376,374,350,396,364,407,4668
日本人,4,13116,豊島区,262,204,235,173,209,164,175,192,194,207,209,200,2424
日本人,4,13117,北区,360,280,330,291,267,251,263,282,266,319,288,324,3521
日本人,4,13118,荒川区,227,170,178,169,146,160,162,136,156,179,168,174,2025
日本人,4,13119,板橋区,509,379,456,439,406,413,389,411,425,488,458,478,5251
日本人,4,13120,練馬区,681,527,535,561,483,442,502,477,521,523,522,562,6336
日本人,4,13121,足立区,756,580,599,582,574,546,583,566,586,588,629,613,7202
日本人,4,13122,葛飾区,491,352,428,392,337,384,365,344,360,370,415,445,4683
日本人,4,13123,江戸川区,649,474,530,494,481,433,454,542,483,508,482,516,6046
日本人,1,13200,市部,4012,3140,3349,3194,2883,2946,2944,3145,3092,3217,3390,3424,38736
日本人,4,13201,八王子市,538,426,484,441,398,457,414,430,417,436,477,465,5383
日本人,4,13202,立川市,185,152,177,159,141,149,132,127,120,162,173,149,1826
日本人,4,13203,武蔵野市,140,95,108,99,80,97,79,89,91,88,93,96,1155
日本人,4,13204,三鷹市,164,115,133,142,117,124,123,126,124,108,142,152,1570
日本人,4,13205,青梅市,196,123,137,143,141,125,134,131,131,150,168,141,1720
