地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和2年中の増減
4,13214,国分寺市,30,18,337,144,11,23,-15,18,28,47,25,98,764
4,13215,国立市,42,-45,37,166,14,57,-44,-1,-9,-12,-21,-10,174
4,13218,福生市,-40,-48,-38,-41,-37,-44,-40,-45,0,-7,-14,37,-317
4,13219,狛江市,-26,-15,196,102,-15,-27,-29,-54,-56,33,-48,-7,54
4,13220,東大和市,-13,-2,16,49,-17,22,-18,-10,30,11,32,-8,92
4,13221,清瀬市,12,-27,41,6,1,18,11,9,40,19,24,-7,147
4,13222,東久留米市,-26,-18,11,61,7,45,33,31,-19,25,15,13,178
4,13223,武蔵村山市,6,3,-10,5,-15,-50,-21,-32,-34,-15,-17,22,-158
4,13224,多摩市,-65,-31,151,128,-38,20,-26,-71,-45,-44,-18,4,-35
4,13225,稲城市,32,-30,110,62,-10,34,9,33,39,36,35,57,407
4,13227,羽村市,-32,-12,-34,16,-12,-47,-39,-3,-42,-37,31,31,-180
4,13228,あきる野市,-8,-21,-22,-26,-29,8,28,-65,-30,16,-6,-24,-179
4,13229,西東京市,-49,49,332,126,44,30,-28,-34,-2,-24,36,26,506
1,13550,町村部,-50,-41,-295,140,7,-22,-57,-33,-3,-48,2,1,-399
2,13300,郡部,-28,-24,-34,6,15,-26,-39,-15,-10,-27,8,-2,-176
4,13303,瑞穂町,-19,-18,-14,7,13,0,-22,-11,-5,-23,17,0,-75
4,13305,日の出町,-11,1,-15,8,3,-18,-13,-5,5,-5,2,-6,-54
4,13307,檜原村,-5,-1,-5,-7,-2,-1,3,1,-4,3,-3,-2,-23
4,13308,奥多摩町,7,-6,0,-2,1,-7,-7,0,-6,-2,-8,6,-24
2,13350,島部,-22,-17,-261,134,-8,4,-18,-18,7,-21,-6,3,-223
3,13360,大島支庁,-10,-13,-123,49,-4,-3,-4,-7,17,-19,5,3,-109
4,13361,大島町,-7,-8,-81,31,-4,-4,-6,-1,13,-10,5,2,-70
4,13362,利島村,1,-1,-19,10,1,-2,1,0,0,0,0,0,-9
4,13363,新島村,-1,-1,-24,10,-1,3,-2,-3,0,-5,0,2,-22
4,13364,神津島村,-3,-3,1,-2,0,0,3,-3,4,-4,0,-1,-8
3,13380,三宅支庁,-9,-3,-34,21,2,6,-8,-1,-4,-4,-5,0,-39
4,13381,三宅村,-9,-3,-26,17,2,4,-8,0,-4,-1,-3,1,-30
4,13382,御蔵島村,0,0,-8,4,0,2,0,-1,0,-3,-2,-1,-9
3,13400,八丈支庁,-2,-3,-76,52,-2,3,-7,-6,-2,-4,-5,3,-49
4,13401,八丈町,-4,1,-69,45,-2,4,-8,-6,-2,-4,-5,1,-49
4,13402,青ヶ島村,2,-4,-7,7,0,-1,1,0,0,0,0,2,0
3,13420,小笠原支庁,-1,2,-28,12,-4,-2,1,-4,-4,6,-1,-3,-26
4,13421,小笠原村,-1,2,-28,12,-4,-2,1,-4,-4,6,-1,-3,-26
,,,,,,,,,,,,,,,
人口の動き（令和2年中）,,,,,,,,,,,,,,,
第７表　区市町村、月別人口増減（総数　女）,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
