国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,令和2年中の転出者数
総数,0,13000,総数,31516,37677,60680,48035,28096,32066,36253,36674,35600,37352,36441,38335,458725
総数,1,13100,区部,23898,27963,43993,36762,21905,24251,27558,28044,27380,28523,28106,29794,348177
総数,1,13200,市部,7503,9571,15926,11035,6105,7706,8565,8452,8076,8701,8246,8421,108307
総数,2,13300,郡部,88,107,181,133,59,91,108,104,106,94,78,82,1231
総数,2,13350,島部,27,36,580,105,27,18,22,74,38,34,11,38,1010
総数,1,13100,区部,23898,27963,43993,36762,21905,24251,27558,28044,27380,28523,28106,29794,348177
総数,4,13101,千代田区,309,362,516,444,273,342,343,338,232,268,335,393,4155
総数,4,13102,中央区,530,645,1083,958,601,642,673,679,698,747,691,806,8753
総数,4,13103,港区,956,1121,1697,1483,982,1134,1153,1176,1079,1182,1151,1297,14411
総数,4,13104,新宿区,1597,1811,2986,2630,1456,1589,1710,1854,1739,1713,1833,2026,22944
総数,4,13105,文京区,770,827,1519,1052,695,773,788,876,863,878,883,933,10857
総数,4,13106,台東区,633,752,1152,1125,574,697,839,741,841,737,798,851,9740
総数,4,13107,墨田区,774,892,1350,1234,698,743,950,919,971,941,1001,900,11373
総数,4,13108,江東区,1110,1292,2119,1633,1074,1045,1238,1333,1300,1351,1263,1522,16280
総数,4,13109,品川区,1071,1185,1656,1425,971,895,1144,1256,1252,1323,1332,1361,14871
総数,4,13110,目黒区,993,1083,1642,1429,987,923,1168,1130,1049,1145,1182,1237,13968
総数,4,13111,大田区,1301,1321,2267,1861,1023,1225,1305,1280,1325,1442,1238,1333,16921
総数,4,13112,世田谷区,1984,2354,3648,3035,1852,1878,2266,2352,2280,2444,2495,2548,29136
総数,4,13113,渋谷区,835,1146,1545,1395,979,1022,1170,1175,1166,1215,1165,1308,14121
総数,4,13114,中野区,1181,1486,2157,1949,1154,1361,1629,1586,1519,1687,1578,1600,18887
総数,4,13115,杉並区,1513,2008,3009,2579,1559,1715,1945,2082,2027,2058,2028,2255,24778
総数,4,13116,豊島区,1276,1446,2174,1904,1093,1231,1293,1412,1328,1415,1376,1443,17391
総数,4,13117,北区,906,967,1575,1474,780,791,894,936,1038,957,1040,996,12354
総数,4,13118,荒川区,510,647,1052,913,526,600,639,678,681,683,695,666,8290
総数,4,13119,板橋区,1226,1461,2331,1836,1029,1248,1432,1389,1324,1364,1372,1374,17386
総数,4,13120,練馬区,1453,1769,2867,2094,1235,1578,1783,1741,1584,1770,1633,1774,21281
