国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和2年中の増減
総数,0,13000,総数,3760,2412,33069,12542,-1181,1661,-2426,-4381,-4360,-2911,-3600,-4967,29618
総数,1,13100,区部,3166,2190,26847,8974,-988,1136,-2052,-3829,-4540,-3528,-3601,-5009,18766
総数,1,13200,市部,590,244,6382,3510,-188,524,-359,-546,198,620,-25,55,11005
総数,2,13300,郡部,13,-3,-14,-12,9,-1,-15,-8,0,4,28,-24,-23
総数,2,13350,島部,-9,-19,-146,70,-14,2,0,2,-18,-7,-2,11,-130
総数,1,13100,区部,3166,2190,26847,8974,-988,1136,-2052,-3829,-4540,-3528,-3601,-5009,18766
総数,4,13101,千代田区,47,18,289,105,-7,11,87,60,86,56,-4,0,748
総数,4,13102,中央区,153,99,361,201,23,59,-19,-80,-68,34,47,15,825
総数,4,13103,港区,203,94,765,183,-116,-102,-120,-229,-125,-106,-97,-100,250
総数,4,13104,新宿区,141,75,715,88,-124,-41,103,82,-143,-53,-42,-228,573
総数,4,13105,文京区,173,142,635,145,48,96,3,-106,-122,-34,13,17,1010
総数,4,13106,台東区,108,68,346,191,90,140,48,-30,-44,70,21,-56,952
総数,4,13107,墨田区,96,28,819,281,86,152,107,-61,-2,-70,-42,-48,1346
総数,4,13108,江東区,92,111,1785,790,66,222,-43,-277,-286,-163,-163,-128,2006
総数,4,13109,品川区,336,409,1452,553,161,693,136,-57,-196,-180,-253,-345,2709
総数,4,13110,目黒区,103,120,1018,280,-58,-75,-145,-183,-181,-170,-147,-269,293
総数,4,13111,大田区,207,108,3663,523,-209,225,-104,-495,-388,-734,-459,-802,1535
総数,4,13112,世田谷区,192,227,2835,760,-227,78,-366,-339,-476,-492,-446,-430,1316
総数,4,13113,渋谷区,185,118,672,159,-60,-16,-34,-99,-28,-59,-62,-113,663
総数,4,13114,中野区,296,197,1087,437,-29,159,-30,-142,-64,14,-90,-151,1684
総数,4,13115,杉並区,306,198,2140,757,49,-1,-74,-191,-332,-125,-156,-210,2361
総数,4,13116,豊島区,171,19,708,99,31,-30,-60,-160,-151,-127,-109,-130,261
総数,4,13117,北区,41,-72,632,386,-82,36,-173,-226,-176,-144,-264,-245,-287
総数,4,13118,荒川区,36,6,249,163,6,1,-81,-80,-123,-16,-18,-117,26
総数,4,13119,板橋区,23,97,1685,561,-135,-38,-277,-310,-250,-237,-346,-335,438
総数,4,13120,練馬区,244,213,2011,718,-114,-157,-413,-278,-409,-260,-260,-235,1060
総数,4,13121,足立区,71,76,1595,450,-149,-79,-196,-215,-345,-268,-211,-368,361
総数,4,13122,葛飾区,43,67,736,394,-50,-2,-53,-165,-245,-73,-220,-211,221
総数,4,13123,江戸川区,-101,-228,649,750,-188,-195,-348,-248,-472,-391,-293,-520,-1585
総数,1,13200,市部,590,244,6382,3510,-188,524,-359,-546,198,620,-25,55,11005
総数,4,13201,八王子市,40,-133,372,367,-13,166,12,-52,501,6,4,19,1289
総数,4,13202,立川市,-9,13,339,173,-5,30,54,-69,-71,0,13,-7,461
総数,4,13203,武蔵野市,55,40,512,215,8,29,-31,-70,13,15,-31,-37,718
総数,4,13204,三鷹市,48,41,605,263,-2,53,-78,-53,-50,48,-45,-1,829
総数,4,13205,青梅市,-57,-12,-61,35,-3,-40,-16,11,-28,67,16,0,-88
総数,4,13206,府中市,46,58,725,468,-8,-17,-110,-82,-34,321,-66,-94,1207
総数,4,13207,昭島市,15,29,104,173,13,-20,-15,-41,-30,12,-28,8,220
総数,4,13208,調布市,72,-34,576,192,-33,49,-19,-43,-98,-90,-5,-24,543
総数,4,13209,町田市,56,88,473,287,34,67,119,-12,115,75,33,149,1484
総数,4,13210,小金井市,40,34,272,161,0,37,6,2,32,38,28,74,724
総数,4,13211,小平市,51,61,154,143,-28,56,-30,-21,-77,166,70,46,591
総数,4,13212,日野市,7,17,252,162,26,54,-7,-23,7,-9,-24,-23,439
総数,4,13213,東村山市,10,-29,106,109,-3,18,-45,-9,-11,-31,-10,-50,55
総数,4,13214,国分寺市,75,55,468,203,2,27,22,31,-2,-5,32,21,929
総数,4,13215,国立市,34,1,103,167,8,82,-13,1,-12,-7,11,-32,343
総数,4,13218,福生市,5,-16,23,9,-28,-31,1,10,-20,8,3,18,-18
総数,4,13219,狛江市,36,-9,262,80,-37,-17,-27,-38,-35,8,-36,-50,137
総数,4,13220,東大和市,-14,16,34,16,-28,-8,-41,10,25,-4,-21,-17,-32
総数,4,13221,清瀬市,-2,2,92,54,9,24,5,-10,64,8,17,32,295
総数,4,13222,東久留米市,26,-6,36,-35,-2,-42,29,16,-19,-4,4,17,20
総数,4,13223,武蔵村山市,-19,9,-35,9,-29,-35,-65,-8,-30,-2,16,27,-162
総数,4,13224,多摩市,65,10,322,51,-49,27,-15,-19,24,20,1,13,450
総数,4,13225,稲城市,13,-49,146,67,25,16,-12,28,37,59,23,36,389
総数,4,13227,羽村市,-22,-15,-6,42,25,-14,-46,-33,-45,-37,1,5,-145
総数,4,13228,あきる野市,15,8,16,-8,-26,1,6,-18,-12,3,-17,-16,-48
総数,4,13229,西東京市,4,65,492,107,-44,12,-43,-54,-46,-45,-14,-59,375
総数,1,13550,町村部,4,-22,-160,58,-5,1,-15,-6,-18,-3,26,-13,-153
総数,2,13300,郡部,13,-3,-14,-12,9,-1,-15,-8,0,4,28,-24,-23
総数,4,13303,瑞穂町,2,2,-25,-16,2,1,-14,-7,0,-5,16,-17,-61
総数,4,13305,日の出町,-2,-4,1,0,5,-3,-4,-8,-1,2,8,-8,-14
総数,4,13307,檜原村,-1,0,2,5,1,0,0,0,0,4,-3,0,8
総数,4,13308,奥多摩町,14,-1,8,-1,1,1,3,7,1,3,7,1,44
総数,2,13350,島部,-9,-19,-146,70,-14,2,0,2,-18,-7,-2,11,-130
総数,3,13360,大島支庁,-6,-11,-85,7,-8,-6,0,7,1,-12,5,15,-93
総数,4,13361,大島町,1,-4,-56,6,-3,0,0,7,-4,-2,6,1,-48
