国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,令和2年中の転入者数
総数,0,13000,総数,27283,30713,102896,59320,22352,28858,28545,27304,26895,28082,23966,24961,431175
総数,1,13100,区部,21373,23995,78741,45316,17536,22603,22304,21100,20357,21219,18475,19078,332097
総数,1,13200,市部,5816,6644,23928,13758,4751,6174,6167,6099,6462,6787,5407,5811,97804
総数,2,13300,郡部,62,50,115,67,43,45,40,44,45,48,58,31,648
総数,2,13350,島部,32,24,112,179,22,36,34,61,31,28,26,41,626
総数,1,13100,区部,21373,23995,78741,45316,17536,22603,22304,21100,20357,21219,18475,19078,332097
総数,4,13101,千代田区,168,174,706,437,125,152,249,226,224,178,142,178,2959
総数,4,13102,中央区,469,426,1276,874,369,483,450,394,432,486,454,470,6583
総数,4,13103,港区,664,618,1916,1104,473,559,600,533,612,628,540,601,8848
総数,4,13104,新宿区,966,1044,3481,2152,825,1044,1171,1170,995,1077,895,917,15737
総数,4,13105,文京区,548,605,2299,1117,405,548,509,453,479,484,461,529,8437
総数,4,13106,台東区,549,566,1572,1076,510,665,662,572,566,613,558,536,8445
総数,4,13107,墨田区,688,714,2104,1243,627,799,825,683,723,718,616,658,10398
総数,4,13108,江東区,922,1122,4369,2466,990,1314,1119,966,1032,1099,917,997,17313
総数,4,13109,品川区,1093,1267,3509,2154,933,1490,1128,1006,957,984,899,839,16259
総数,4,13110,目黒区,649,751,2390,1515,513,591,674,709,610,628,582,580,10192
総数,4,13111,大田区,1825,1975,7456,3613,1400,1920,1809,1680,1733,1633,1479,1503,28026
総数,4,13112,世田谷区,1823,2318,7474,4099,1577,2027,1918,1977,1866,1760,1581,1716,30136
総数,4,13113,渋谷区,582,588,1650,1043,421,528,588,575,611,568,510,516,8180
総数,4,13114,中野区,916,1043,3174,1901,661,938,898,830,852,897,748,704,13562
総数,4,13115,杉並区,1232,1391,5037,2798,1016,1124,1236,1193,1080,1154,957,935,19153
総数,4,13116,豊島区,831,894,2816,1626,772,827,794,786,805,820,748,734,12453
総数,4,13117,北区,862,941,2951,2073,707,945,933,832,817,852,727,771,13411
総数,4,13118,荒川区,470,493,1359,940,362,465,452,461,380,517,424,464,6787
総数,4,13119,板橋区,1185,1432,4906,2682,958,1237,1278,1241,1223,1245,1046,1101,19534
総数,4,13120,練馬区,1454,1718,5909,3152,1087,1400,1352,1418,1198,1386,1154,1273,22501
総数,4,13121,足立区,1342,1500,4572,2619,1047,1295,1348,1225,1154,1287,1160,1192,19741
総数,4,13122,葛飾区,798,934,2817,1882,679,905,910,847,755,868,736,709,12840
総数,4,13123,江戸川区,1337,1481,4998,2750,1079,1347,1401,1323,1253,1337,1141,1155,20602
総数,1,13200,市部,5816,6644,23928,13758,4751,6174,6167,6099,6462,6787,5407,5811,97804
総数,4,13201,八王子市,751,852,3045,1746,598,847,791,764,1307,803,674,706,12884
総数,4,13202,立川市,225,277,1170,610,222,264,342,254,208,290,254,269,4385
総数,4,13203,武蔵野市,239,291,1183,634,184,280,258,273,277,250,211,207,4287
総数,4,13204,三鷹市,285,339,1457,749,235,331,280,291,273,348,226,234,5048
総数,4,13205,青梅市,88,119,310,214,97,89,111,107,92,156,101,105,1589
