"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～65歳[人]","計[人]"
"男","1","212","234","214","332","97","1090"
"女","0","288","275","261","282","52","1158"
"合計","1","500","509","475","614","149","2248"

"令和元年度港区行政資料集　男女別年齢層別職員数（再任用短時間勤務職員を含む）","Ver201904",,,,,,
