実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,nen,実数_平成26年平均,2014,,245,2.39,0.43,73.3,183975,179279,18046,3308,14738,8226,153008,146170,4696,152488,269469,74216,20647,23168,10169,8259,17970,24596,716,32668,57060
jissu,nen,実数_平成27年平均,2015,,237,2.39,0.44,74.1,181141,176763,17846,6148,11698,9890,149027,144132,4379,146876,276745,76515,21571,23275,9805,9034,17496,26249,3175,33255,56370
jissu,nen,実数_平成28年平均,2016,,237,2.4,0.46,73.9,179109,171438,15929,6291,9638,9608,145901,138199,7671,150720,251346,76545,20332,20214,9177,8156,14825,20442,639,28800,52217
jissu,sihan,実数_平成28年7～9月,2016,7～9,245,2.42,0.46,73.7,146863,135899,20413,6884,13530,10135,105350,94019,10964,119377,247918,75497,17315,16158,10682,7691,16925,20017,139,26868,56628
jissu,sihan,実数_平成29年10～12月,2017,10～12,241,2.35,0.38,73.8,217174,209050,13839,7285,6553,13169,182042,178993,8124,187519,269724,81850,25456,17393,9752,9443,14765,23693,907,30736,55729
jissu,sihan,実数_平成29年1～3月,2017,1～3,241,2.33,0.4,74.4,128201,124410,12408,4921,7487,8257,103744,100707,3791,103759,245881,71003,14529,25191,7732,8726,15221,21278,239,24766,57195
jissu,sihan,実数_平成29年4～6月,2017,4～6,245,2.38,0.41,74.9,215098,210087,13038,5618,7420,6478,190572,187897,5011,171687,250382,79069,14263,20515,7764,8331,16417,21852,1045,31022,50104
jissu,sihan,実数_平成29年7～9月,2017,7～9,255,2.36,0.39,75.2,113279,110144,9436,2348,7088,7547,93162,90754,3135,91676,260074,76545,29968,17059,9478,5675,15031,26537,304,28642,50835
jissu,tuki,実数_平成28年11月,2016,11,243,2.36,0.38,73.8,43464,36529,14083,7413,6670,13208,9238,7006,6935,30859,249122,72328,16255,16529,10229,9015,15050,27068,1330,28621,52696
jissu,tuki,実数_平成28年12月,2016,12,238,2.3,0.39,73.9,309392,297349,15536,7219,8316,12391,269422,266182,12043,273418,278712,96099,17648,19037,11627,9843,14785,20365,551,30006,58752
jissu,tuki,実数_平成29年1月,2017,1,244,2.32,0.39,73.8,28275,24634,9310,2395,6914,5741,9583,6428,3641,12115,249564,69150,16865,24479,5865,10502,15026,19737,427,23097,64416
jissu,tuki,実数_平成29年2月,2017,2,239,2.33,0.37,74.3,319280,316310,11638,5062,6576,13492,291180,288549,2970,275499,226085,69681,12269,26472,7267,7042,14160,19752,231,25936,43275
jissu,tuki,実数_平成29年3月,2017,3,240,2.35,0.43,75,37047,32285,16277,7307,8970,5539,10469,7143,4762,23664,261993,74177,14453,24623,10064,8633,16477,24345,58,25266,63895
jissu,tuki,実数_平成29年4月,2017,4,233,2.39,0.43,74.9,300849,295949,16027,5742,10285,7853,272069,270967,4900,273369,238130,77197,12469,23239,7308,8597,14136,19413,18,29121,46632
jissu,tuki,実数_平成29年5月,2017,5,248,2.39,0.4,74.8,29461,23132,11907,5853,6054,3643,7583,6187,6329,-4441,265405,81613,13128,20472,7024,8161,18383,25411,3021,33633,54557
jissu,tuki,実数_平成29年6月,2017,6,254,2.36,0.4,74.9,314984,311180,11179,5259,5920,7937,292065,286537,3804,246133,247612,78398,17192,17835,8959,8236,16731,20733,95,30311,49123
jissu,tuki,実数_平成29年7月,2017,7,261,2.39,0.4,74.9,32780,29736,10391,4635,5756,6285,13060,9552,3044,9399,257376,76007,27303,17232,12293,6863,12701,21660,145,30044,53128
jissu,tuki,実数_平成29年8月,2017,8,251,2.33,0.38,75.4,276651,273261,8018,1501,6517,10487,254757,252804,3389,246920,242823,77788,10584,17125,9335,4434,14882,29612,35,24608,54421
jissu,tuki,実数_平成29年9月,2017,9,252,2.35,0.38,75.4,30406,27435,9898,907,8992,5868,11669,9906,2971,18709,280022,75839,52017,16819,6805,5728,17510,28340,733,31273,44957
jissu,tuki,実数_平成29年10月,2017,10,251,2.3,0.38,75.5,303346,298883,9037,3427,5610,8336,281509,278128,4463,264407,253330,73210,15816,17054,8573,6971,17963,27379,716,29143,56505
jissu,tuki,実数_平成29年11月,2017,11,241,2.31,0.4,75.9,30528,28687,10506,3235,7271,12875,5306,2412,1841,22035,245865,73145,21142,18256,12110,8851,17120,21129,333,26202,47577
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3,-0.8,9.6,4.1,7,-0.9,1.2,1.5,-64.7,5,8.6
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-4.3,-2.7,-3.1,-39,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-4.1,1.3,-18,-0.9,-1.8,-6.8,-3.3,2.4,-38.2,0.2,-10.5
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,2.7,3.1,4.5,0.5,-3.6,9.4,-2.6,6.7,343.4,1.8,-1.2
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,2016,,-,-,-,-,-1.1,-3,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-9.2,0,-5.7,-13.2,-6.4,-9.7,-15.3,-22.1,-79.9,-13.4,-7.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年7～9月,2016,7～9,-,-,-,-,-1.6,-6.1,9.7,12.6,8.2,-31.4,-5.4,-10.3,140,-0.6,-5.1,-1.5,2.5,-16.1,8,-16.5,-8.3,-8.8,-92.6,-10.1,-1.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年10～12月,2017,10～12,-,-,-,-,-5.3,-6.8,-45.2,-37.3,-51.9,73.6,-5,-4.3,66.9,-6.1,-7,-1.9,2.8,-5.4,-16,-10.7,-30.6,-3.2,-64.7,-9.2,-5.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年1～3月,2017,1～3,-,-,-,-,-1.1,0,-13.4,-21.2,-7.5,26.2,0.1,4.1,-27.1,-6.4,-0.3,-1.7,-28.6,-5.7,-6.2,17.7,2.2,16,-67.7,-11.7,15.3
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年4～6月,2017,4～6,-,-,-,-,-3.4,-2.9,-13.8,18.3,-28.5,-24.5,-1.1,2.7,-21.7,-7.2,3.8,3.2,-21.6,-0.4,-3.3,3.1,29.2,10.8,35.4,5,6.8
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年7～9月,2017,7～9,-,-,-,-,-22.9,-19,-53.8,-65.9,-47.6,-25.5,-11.6,-3.5,-71.4,-23.2,4.9,1.4,73.1,5.6,-11.3,-26.2,-11.2,32.6,118.7,6.6,-10.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年11月,2016,11,-,-,-,-,14.8,5.6,-27.4,25.3,-50.5,80.7,17.1,32.8,112.9,48.1,-11.1,-3.2,-15.7,-7,-7.7,-24.3,-39.6,-6.4,115.2,-17.9,-6.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年12月,2016,12,-,-,-,-,-7.7,-9,-57.7,-64.4,-49.4,39.2,-4.2,-3.1,42.2,-7.7,-10.2,-1.7,-52.9,-5.7,-8,15.5,-23.3,-8.6,-22,1.5,-5
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年1月,2017,1,-,-,-,-,-29.7,-29.6,-27.5,-69.4,37.7,-24.5,-34.2,-33.7,-29.9,-62,-0.4,0.8,-16.9,-6,-43.9,30.7,1.5,30.8,-45.8,-13.7,7.9
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年2月,2017,2,-,-,-,-,3.7,4.3,-31.6,-21.7,-37.7,128.3,3.8,5.9,-35.5,2.1,-1.4,-2.3,-43.4,-2.5,18.5,3.7,7.5,-1.8,-78.6,5.8,15.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年3月,2017,3,-,-,-,-,-9.3,-7.9,23.8,64.2,3.1,-9.3,-33.7,-10.3,-17.8,-23.9,0.9,-3.3,-24.3,-8.6,23.6,16.5,-1.5,22.9,-83.5,-23.1,23.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年4月,2017,4,-,-,-,-,-1.3,-0.8,13.3,7.9,16.6,-8.2,-1.3,1.4,-24.8,-2.2,1.2,3.1,-9.7,-7.3,-0.2,15.2,14.4,14.5,-99.1,2.9,-1
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年5月,2017,5,-,-,-,-,-37.6,-43.8,-38.1,10,-56.5,-31.9,-54.3,-28.8,4.5,-124.8,6.1,1.4,-21.5,10.1,-11,-4.6,44.3,6.8,...,2.6,12.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年6月,2017,6,-,-,-,-,-0.3,0.6,-6.9,45.8,-29.6,-33,2.3,4.9,-42.6,-4.5,3.9,5.2,-28.6,-1.6,1,0.2,28.4,12.6,-68.3,10,8.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年7月,2017,7,-,-,-,-,-59.3,-60.4,-67.7,-43.9,-75.9,-49.8,-57,-0.3,-45.3,-83.9,4.8,0.6,26.4,14.3,-13.5,-19.5,2,10.9,133.9,17.3,0.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年8月,2017,8,-,-,-,-,-8.3,-6.7,-50.2,-77.6,-30.7,8.8,-4.7,-3.9,-61.8,-5.2,-1.2,1.3,-29.4,1.3,-6.6,-27.9,-25.3,46.4,-80.9,-2.8,-1.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年9月,2017,9,-,-,-,-,-47.7,-30.8,-23.6,-84,23.5,-28.8,-36.9,4.1,-83.9,-52.5,11,2.2,239,2,-13.3,-31.8,-4.8,39.7,326.2,5.4,-26.9
